add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes,contains_bug
26,42,1.6154,1.6154,12,84,3,2,1,19,TRUE
8,8,1,1,4,16,2,2,0,8,TRUE
33,61,1.8485,1.8485,13,122,3,3,1,31,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
46,100,2.1739,2.1739,21,200,4,3,1,46,TRUE
37,73,1.973,1.973,15,146,3,3,1,36,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
31,51,1.6452,1.6452,13,102,3,2,1,23,TRUE
31,59,1.9032,1.9032,11,118,3,3,1,27,TRUE
23,36,1.5652,1.5652,9,72,3,2,1,17,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
10,11,1.1,1.1,5,22,2,2,1,10,TRUE
16,23,1.4375,1.4375,5,46,2,2,0,16,TRUE
25,37,1.48,1.48,10,74,3,2,1,23,TRUE
18,26,1.4444,1.4444,8,52,2,2,1,19,TRUE
16,25,1.5625,1.5625,10,50,3,2,1,19,TRUE
26,41,1.5769,1.5769,10,82,3,2,1,25,TRUE
22,33,1.5,1.5,8,66,3,2,1,22,TRUE
18,24,1.3333,1.3333,8,48,2,2,1,0,TRUE
14,18,1.2857,1.2857,5,36,2,2,1,10,TRUE
8,11,1.375,1.375,6,22,2,2,1,20,TRUE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,16,1.7778,1.7778,7,32,3,3,1,9,FALSE
4,3,0.75,0.75,3,6,1,1,0,4,FALSE
28,46,1.6429,1.6429,11,92,3,2,1,21,FALSE
40,78,1.95,1.95,15,156,3,3,1,23,FALSE
8,9,1.125,1.125,5,18,2,2,1,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,2,1,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,12,1.3333,1.3333,6,24,2,2,1,0,FALSE
20,32,1.6,1.6,11,64,3,3,1,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
12,17,1.4167,1.4167,9,34,2,2,1,8,FALSE
26,38,1.4615,1.4615,9,76,3,2,1,25,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
14,19,1.3571,1.3571,7,38,2,2,1,3,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,2,1,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
15,20,1.3333,1.3333,6,40,2,2,0,8,FALSE
8,8,1,1,4,16,2,2,0,8,FALSE
10,13,1.3,1.3,7,26,2,2,1,25,FALSE
20,27,1.35,1.35,8,54,2,2,1,18,FALSE
8,8,1,1,4,16,2,2,0,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,37,1.85,1.85,11,74,3,3,1,21,FALSE
23,36,1.5652,1.5652,9,72,3,2,1,11,FALSE
23,37,1.6087,1.6087,11,74,3,3,1,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
18,26,1.4444,1.4444,7,52,2,2,1,0,FALSE
3,2,0.6667,0.6667,2,4,1,1,0,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,36,1.5652,1.5652,9,72,3,2,1,17,FALSE
23,35,1.5217,1.5217,9,70,3,2,1,17,FALSE
40,78,1.95,1.95,15,156,3,3,1,23,FALSE
0,0,0,0,0,0,0,0,0,8,FALSE
29,45,1.5517,1.5517,9,90,3,2,1,19,FALSE
13,18,1.3846,1.3846,7,36,2,2,1,22,FALSE
15,23,1.5333,1.5333,11,46,3,2,1,26,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
24,38,1.5833,1.5833,9,76,3,2,1,13,FALSE
10,10,1,1,5,20,2,2,0,10,FALSE
13,15,1.1538,1.1538,6,30,2,2,1,0,FALSE
26,42,1.6154,1.6154,14,84,3,2,1,29,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,36,1.5652,1.5652,11,72,3,3,0,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,8,1,1,4,16,2,2,0,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,18,1.3846,1.3846,8,36,2,2,1,12,FALSE
