entropy,add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree,contains_bug
0.910622368,30,54,1.8,12,108,3,20,32,9,TRUE
0,8,11,1.375,6,22,2,8,11,6,TRUE
2.822229226,19,27,1.4211,8,54,2,8,11,6,TRUE
2.416638808,36,69,1.9167,14,138,3,32,64,14,TRUE
1.97848108,33,63,1.9091,14,126,3,31,62,14,TRUE
2.993202687,27,39,1.4444,10,78,3,19,29,9,TRUE
0,17,30,1.7647,9,60,3,13,15,6,TRUE
2.856457428,30,54,1.8,14,108,3,17,25,12,TRUE
0.650022422,23,37,1.6087,11,74,3,12,17,8,TRUE
1.966896125,30,48,1.6,10,96,3,15,19,9,TRUE
1.543265315,29,51,1.7586,13,102,3,30,61,15,TRUE
2.268134911,30,57,1.9,12,114,3,25,40,11,TRUE
3.43542073,42,90,2.1429,19,180,4,31,61,12,TRUE
2.248216359,29,53,1.8276,12,106,3,22,36,9,TRUE
2.593098705,27,47,1.7407,13,94,3,4,3,3,TRUE
2.25237538,39,80,2.0513,16,160,4,27,48,12,TRUE
1.66501711,36,68,1.8889,16,136,3,12,17,7,TRUE
0.907796241,23,40,1.7391,11,80,3,14,21,10,TRUE
0.907796241,23,40,1.7391,11,80,3,14,21,10,TRUE
3.355350426,33,62,1.8788,12,124,3,12,14,5,TRUE
1.845114889,29,46,1.5862,11,92,3,21,32,8,TRUE
0.918295834,14,18,1.2857,8,36,2,8,11,6,TRUE
2.64169653,33,63,1.9091,13,126,3,28,47,11,TRUE
0.733537929,21,32,1.5238,8,64,3,20,30,7,TRUE
0.66319684,27,45,1.6667,12,90,3,7,10,5,TRUE
2.583481822,33,65,1.9697,13,130,3,30,62,14,TRUE
2.583481822,33,65,1.9697,13,130,3,30,62,14,TRUE
2.346163966,29,51,1.7586,12,102,3,21,32,10,TRUE
2.588033935,29,51,1.7586,12,102,3,21,32,10,TRUE
1.181987705,26,43,1.6538,12,86,3,17,28,11,TRUE
3.487348619,35,74,2.1143,16,148,4,32,68,16,TRUE
4.062018028,35,79,2.2571,17,158,4,32,68,16,TRUE
2.11927127,32,62,1.9375,14,124,3,22,33,11,TRUE
3.193296128,36,76,2.1111,15,152,4,32,60,14,TRUE
0.731884343,22,37,1.6818,10,74,3,21,31,9,TRUE
1.052681226,27,47,1.7407,11,94,3,21,33,10,TRUE
0.901239054,24,44,1.8333,10,88,3,0,0,0,TRUE
0,11,13,1.1818,5,26,2,0,0,0,TRUE
0.899743759,0,0,0,0,0,0,0,0,0,TRUE
0.899743759,0,0,0,0,0,0,0,0,0,TRUE
0,30,49,1.6333,11,98,3,0,0,0,TRUE
0,30,49,1.6333,11,98,3,0,0,0,TRUE
0,18,30,1.6667,9,60,3,19,29,10,TRUE
0,22,35,1.5909,10,70,3,18,24,9,TRUE
0,22,35,1.5909,10,70,3,18,24,9,TRUE
5.679431597,35,70,2,13,140,4,33,68,16,TRUE
0,8,11,1.375,6,22,2,0,0,0,TRUE
4.680633226,10,13,1.3,7,26,2,10,13,7,TRUE
5.072873718,30,58,1.9333,13,116,3,30,58,13,TRUE
1.687261388,32,65,2.0312,13,130,4,24,44,12,TRUE
2.533656714,23,36,1.5652,10,72,3,18,23,8,TRUE
2.077427422,24,38,1.5833,9,76,3,15,20,8,TRUE
1.264158563,21,34,1.619,9,68,3,17,27,10,TRUE
0.40528061,23,34,1.4783,9,68,2,0,0,0,TRUE
1.88055931,15,24,1.6,11,48,3,20,31,11,TRUE
1.746195873,14,22,1.5714,10,44,3,14,22,10,TRUE
0.403207133,23,34,1.4783,9,68,2,0,0,0,TRUE
1.264158563,21,34,1.619,9,68,3,17,27,10,TRUE
1.789117547,32,69,2.1562,18,138,4,32,68,19,TRUE
1.358328975,31,58,1.871,16,116,3,27,50,16,TRUE
2.898237842,25,55,2.2,15,110,4,53,137,32,TRUE
5.846610531,18,29,1.6111,9,58,3,58,158,35,TRUE
0,12,20,1.6667,8,40,3,0,0,0,FALSE
0.721928095,10,14,1.4,6,28,2,9,11,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.996791632,23,35,1.5217,12,70,3,4,2,2,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,19,26,1.3684,8,52,2,18,25,8,FALSE
0,25,42,1.68,10,84,3,20,34,10,FALSE
0,18,26,1.4444,9,52,2,12,19,9,FALSE
3.090045028,20,33,1.65,12,66,3,16,25,9,FALSE
4.480719728,8,8,1,4,16,2,8,8,4,FALSE
0.391243564,15,20,1.3333,8,40,2,14,19,8,FALSE
0,7,10,1.4286,5,20,2,18,25,9,FALSE
0,11,16,1.4545,8,32,2,11,18,9,FALSE
4.847394584,16,23,1.4375,10,46,2,20,35,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.216346412,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.301378644,11,17,1.5455,9,34,3,30,53,16,FALSE
1.298653215,25,41,1.64,10,82,3,14,18,8,FALSE
0,13,17,1.3077,7,34,2,0,0,0,FALSE
0.481767841,30,51,1.7,12,102,3,29,50,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.584962501,8,8,1,5,16,2,8,8,5,FALSE
0.735508582,0,0,0,0,0,0,0,0,0,FALSE
0.391243564,15,20,1.3333,8,40,2,14,19,8,FALSE
0,18,25,1.3889,9,50,2,17,25,9,FALSE
0.488908591,21,31,1.4762,11,62,2,12,18,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.99107606,7,9,1.2857,5,18,2,7,9,5,FALSE
0,18,27,1.5,8,54,3,0,0,0,FALSE
0,7,9,1.2857,5,18,2,7,9,5,FALSE
0,18,26,1.4444,9,52,2,18,24,8,FALSE
0,27,47,1.7407,10,94,3,19,33,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5.488510162,14,20,1.4286,8,40,2,11,15,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
3.444231936,0,0,0,0,0,0,0,0,0,FALSE
1.707085519,0,0,0,0,0,0,35,65,14,FALSE
0,0,0,0,0,0,0,23,36,11,FALSE
1.034986808,8,9,1.125,4,18,2,0,0,0,FALSE
0,22,35,1.5909,10,70,3,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
2.863919487,0,0,0,0,0,0,0,0,0,FALSE
0.684038436,12,17,1.4167,7,34,2,8,11,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.002377477,15,22,1.4667,8,44,2,15,21,8,FALSE
1.584962501,8,8,1,5,16,2,8,8,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0,13,17,1.3077,7,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.493922667,25,41,1.64,10,82,3,14,18,8,FALSE
0.799048521,18,23,1.2778,8,46,2,8,9,6,FALSE
0,7,10,1.4286,5,20,2,17,25,9,FALSE
1.762196906,7,6,0.8571,3,12,1,36,67,15,FALSE
0.811278124,27,48,1.7778,10,96,3,17,28,8,FALSE
0,0,0,0,0,0,0,8,11,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.110580845,0,0,0,0,0,0,0,0,0,FALSE
1.023730431,13,18,1.3846,7,36,2,38,69,15,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.347656509,0,0,0,0,0,0,0,0,0,FALSE
0.945660305,0,0,0,0,0,0,0,0,0,FALSE
2.013641022,20,25,1.25,8,50,2,10,13,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.99107606,0,0,0,0,0,0,0,0,0,FALSE
0.969431155,22,37,1.6818,11,74,3,24,39,12,FALSE
0,8,9,1.125,4,18,2,8,9,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,26,44,1.6923,13,88,3,18,22,8,FALSE
0.40790598,0,0,0,0,0,0,0,0,0,FALSE
0,23,40,1.7391,12,80,3,0,0,0,FALSE
0,6,8,1.3333,5,16,2,6,8,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.993123177,0,0,0,0,0,0,25,43,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,3,3,1,4,6,2,0,0,0,FALSE
0,18,30,1.6667,9,60,3,19,29,10,FALSE
0,11,14,1.2727,5,28,2,11,13,4,FALSE
0,5,6,1.2,4,12,2,3,4,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.941138843,17,24,1.4118,11,48,2,13,19,11,FALSE
0,19,28,1.4737,11,56,2,21,29,9,FALSE
0,9,11,1.2222,5,22,2,8,9,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.918295834,19,26,1.3684,8,52,2,7,9,5,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
1,8,9,1.125,6,18,2,8,9,6,FALSE
0,0,0,0,0,0,0,13,17,8,FALSE
0.522559375,20,33,1.65,9,66,3,23,39,9,FALSE
2.435520504,0,0,0,0,0,0,0,0,0,FALSE
1.224394445,14,18,1.2857,8,36,2,15,19,8,FALSE
0,13,17,1.3077,7,34,2,0,0,0,FALSE
0,27,41,1.5185,10,82,3,0,0,0,FALSE
1.306178709,25,44,1.76,11,88,3,37,76,17,FALSE
0,13,17,1.3077,7,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,6,8,1.3333,5,16,2,6,8,5,FALSE
1.298653215,25,41,1.64,10,82,3,14,18,8,FALSE
1.731553155,26,46,1.7692,10,92,3,26,46,10,FALSE
0,10,13,1.3,6,26,2,10,13,6,FALSE
0.235193382,7,6,0.8571,3,12,1,6,5,2,FALSE
0.632487078,11,17,1.5455,9,34,3,11,17,9,FALSE
1.426520961,33,68,2.0606,13,136,4,25,46,12,FALSE
0.391243564,0,0,0,0,0,0,0,0,0,FALSE
0,13,18,1.3846,8,36,2,13,18,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,17,25,1.4706,9,50,2,0,0,0,FALSE
0.527642326,0,0,0,0,0,0,0,0,0,FALSE
0,11,16,1.4545,7,32,2,18,26,7,FALSE
0.738284866,17,23,1.3529,7,46,2,8,11,6,FALSE
0.845350937,8,9,1.125,4,18,2,0,0,0,FALSE
2.892962813,0,0,0,0,0,0,0,0,0,FALSE
0,27,41,1.5185,10,82,3,0,0,0,FALSE
0,13,17,1.3077,7,34,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.992774454,25,41,1.64,10,82,3,15,19,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,6,7,1.1667,4,14,2,0,0,0,FALSE
1,7,9,1.2857,5,18,2,7,9,5,FALSE
0,10,18,1.8,8,36,3,9,15,8,FALSE
0.99085109,0,0,0,0,0,0,32,61,15,FALSE
2.11743795,8,11,1.375,6,22,2,10,14,8,FALSE
0,24,34,1.4167,9,68,2,17,25,9,FALSE
0,6,9,1.5,5,18,3,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,7,10,1.4286,5,20,2,12,18,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.467985385,8,11,1.375,6,22,2,8,9,6,FALSE
