add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la,contains_bug
33,66,2,2,15,132,4.26,68,0.558629,46,FALSE
35,74,2.1143,2.1143,18,148,4.35,112,1.51984,20,FALSE
9,11,1.2222,1.2222,6,22,2.75,18,0,0,FALSE
26,41,1.5769,1.5769,14,82,3.42,82,0,2,FALSE
26,47,1.8077,1.8077,15,94,3.76,108,1.7863,12,FALSE
37,87,2.3514,2.3514,21,174,4.83,144,0,0,FALSE
31,65,2.0968,2.0968,21,130,4.33,130,0,0,FALSE
24,43,1.7917,1.7917,12,86,3.74,86,0,0,FALSE
19,38,2,2,13,76,4.22,164,3.50844,14,FALSE
12,18,1.5,1.5,9,36,3.27,36,0,1,FALSE
32,61,1.9062,1.9062,20,122,3.94,112,1.50798,31,FALSE
20,32,1.6,1.6,14,64,3.56,68,0,23,FALSE
17,28,1.6471,1.6471,14,56,3.5,56,0,1,FALSE
21,34,1.619,1.619,10,68,3.4,68,0,6,FALSE
12,19,1.5833,1.5833,10,38,3.45,36,0,0,FALSE
18,26,1.4444,1.4444,12,52,3.25,52,1.82307,6,FALSE
25,41,1.64,1.64,11,82,3.42,82,0,1,FALSE
22,39,1.7727,1.7727,10,78,3.71,82,0.918296,3,FALSE
31,55,1.7742,1.7742,13,110,3.67,96,0.936667,13,FALSE
23,42,1.8261,1.8261,13,84,3.82,84,1.30098,51,FALSE
19,31,1.6316,1.6316,11,62,3.44,62,0,12,FALSE
18,28,1.5556,1.5556,10,56,3.29,30,0,33,FALSE
34,65,1.9118,1.9118,18,130,3.94,108,1.34021,30,FALSE
25,44,1.76,1.76,17,88,3.67,88,1.81498,8,FALSE
16,22,1.375,1.375,8,44,2.93,22,1.29546,10,FALSE
14,27,1.9286,1.9286,10,54,4.15,54,0,9,FALSE
20,33,1.65,1.65,14,66,3.47,64,0,1,FALSE
23,34,1.4783,1.4783,11,68,3.24,46,0.957554,26,FALSE
28,53,1.8929,1.8929,16,106,3.93,106,1.38146,17,FALSE
22,37,1.6818,1.6818,12,74,3.52,60,0,7,FALSE
23,40,1.7391,1.7391,14,80,3.64,66,0,13,FALSE
26,47,1.8077,1.8077,15,94,3.76,108,1.7863,12,FALSE
11,15,1.3636,1.3636,7,30,3,88,0.642092,0,FALSE
26,46,1.7692,1.7692,14,92,3.68,68,0.922806,29,FALSE
51,133,2.6078,2.6078,29,266,5.32,146,0,0,FALSE
23,46,2,2,17,92,4.18,102,2.89537,46,FALSE
26,37,1.4231,1.4231,13,74,3.08,74,0.386019,28,FALSE
13,19,1.4615,1.4615,8,38,3.17,38,0,1,FALSE
13,20,1.5385,1.5385,9,40,3.33,40,0.881291,9,FALSE
14,23,1.6429,1.6429,13,46,3.54,46,0,2,FALSE
6,5,0.8333,0.8333,5,10,2,10,0,0,FALSE
29,54,1.8621,1.8621,15,108,3.86,102,0,0,FALSE
35,68,1.9429,1.9429,15,136,4,106,1.43156,43,FALSE
21,38,1.8095,1.8095,13,76,3.8,74,0,6,FALSE
6,7,1.1667,1.1667,5,14,2.8,14,0,0,FALSE
6,5,0.8333,0.8333,5,10,2,10,0,0,FALSE
10,15,1.5,1.5,8,30,3.33,30,0,0,FALSE
17,28,1.6471,1.6471,13,56,3.5,42,0,5,FALSE
22,35,1.5909,1.5909,11,70,3.33,66,0,10,FALSE
9,11,1.2222,1.2222,6,22,2.75,22,0,5,FALSE
30,54,1.8,1.8,15,108,3.86,60,0,0,FALSE
29,54,1.8621,1.8621,15,108,3.86,88,0,0,FALSE
20,37,1.85,1.85,12,74,3.89,40,0,27,FALSE
10,16,1.6,1.6,8,32,3.56,32,0,2,FALSE
13,19,1.4615,1.4615,8,38,3.17,38,0,1,FALSE
44,116,2.6364,2.6364,23,232,5.4,206,0,0,FALSE
14,23,1.6429,1.6429,12,46,3.54,44,1.34202,13,FALSE
28,53,1.8929,1.8929,16,106,3.93,106,0,0,FALSE
16,24,1.5,1.5,10,48,3.2,32,0,15,FALSE
33,66,2,2,16,132,4.12,124,1.29382,66,FALSE
11,18,1.6364,1.6364,10,36,3.6,36,0,0,FALSE
19,33,1.7368,1.7368,12,66,3.67,66,0.779665,430,FALSE
11,15,1.3636,1.3636,7,30,3,30,0,1,FALSE
14,21,1.5,1.5,11,42,3.5,42,0,3,FALSE
18,22,1.2222,1.2222,9,44,2.59,36,0,4,FALSE
15,20,1.3333,1.3333,8,40,2.86,40,0,0,FALSE
13,21,1.6154,1.6154,12,42,3.5,42,0,1,FALSE
27,47,1.7407,1.7407,15,94,3.62,92,0,3,FALSE
32,64,2,2,16,128,4.27,88,1.49019,24,FALSE
13,20,1.5385,1.5385,12,40,3.33,40,0,1,FALSE
17,29,1.7059,1.7059,13,58,3.62,60,0,2,FALSE
25,51,2.04,2.04,16,102,4.25,102,1.32578,16,FALSE
39,83,2.1282,2.1282,21,166,4.37,166,0,0,FALSE
11,14,1.2727,1.2727,7,28,2.8,36,0,0,FALSE
51,129,2.5294,2.5294,22,258,5.16,224,2.62457,174,FALSE
32,69,2.1562,2.1562,16,138,4.45,128,1.60691,55,FALSE
17,37,2.1765,2.1765,16,74,4.62,74,0,0,FALSE
32,70,2.1875,2.1875,17,140,4.52,126,1.30582,43,FALSE
26,51,1.9615,1.9615,15,102,4.08,70,0,43,FALSE
44,110,2.5,2.5,22,220,5.12,136,0,0,FALSE
9,12,1.3333,1.3333,7,24,3,24,0,0,FALSE
35,69,1.9714,1.9714,15,138,4.06,130,0,0,FALSE
23,40,1.7391,1.7391,11,80,3.64,74,0,5,FALSE
25,43,1.72,1.72,15,86,3.58,84,0,0,FALSE
16,25,1.5625,1.5625,9,50,3.33,66,0,0,FALSE
23,35,1.5217,1.5217,10,70,3.18,70,0,1,FALSE
20,31,1.55,1.55,14,62,3.26,62,1.53099,12,FALSE
24,43,1.7917,1.7917,12,86,3.74,86,0,0,FALSE
12,18,1.5,1.5,9,36,3.27,36,0,2,FALSE
28,50,1.7857,1.7857,15,100,3.7,98,1.40564,4,FALSE
14,22,1.5714,1.5714,12,44,3.38,46,1.36096,7,FALSE
30,60,2,2,14,120,4.14,120,0,2,FALSE
29,49,1.6897,1.6897,13,98,3.5,22,0,63,FALSE
36,66,1.8333,1.8333,16,132,3.77,46,0.110581,135,FALSE
27,48,1.7778,1.7778,14,96,3.69,96,0,81,FALSE
9,12,1.3333,1.3333,6,24,3,24,0,1,FALSE
23,35,1.5217,1.5217,13,70,3.18,60,0,7,FALSE
32,71,2.2188,2.2188,18,142,4.58,116,2.44573,64,FALSE
13,21,1.6154,1.6154,9,42,3.5,42,0,0,FALSE
24,44,1.8333,1.8333,14,88,3.83,88,0,0,FALSE
33,66,2,2,20,132,4.12,132,2.14034,15,FALSE
20,31,1.55,1.55,11,62,3.26,42,0,14,FALSE
23,40,1.7391,1.7391,11,80,3.64,74,0,5,FALSE
10,14,1.4,1.4,8,28,3.11,28,0,16,FALSE
21,32,1.5238,1.5238,11,64,3.2,64,1.28705,11,FALSE
23,32,1.3913,1.3913,12,64,3.05,64,0,1,FALSE
26,45,1.7308,1.7308,11,90,3.6,90,0,1,FALSE
46,110,2.3913,2.3913,26,220,4.89,198,0,0,FALSE
19,32,1.6842,1.6842,12,64,3.56,62,0,6,FALSE
30,65,2.1667,2.1667,20,130,4.48,130,0.722745,1096,FALSE
16,25,1.5625,1.5625,12,50,3.33,50,0.811278,3,FALSE
14,21,1.5,1.5,12,42,3.23,42,1,2,FALSE
23,41,1.7826,1.7826,13,82,3.73,102,0,14,FALSE
20,30,1.5,1.5,13,60,3.16,60,0,1,FALSE
20,30,1.5,1.5,10,60,3.16,60,0,1,FALSE
11,17,1.5455,1.5455,8,34,3.4,34,1.51093,35,FALSE
38,73,1.9211,1.9211,17,146,3.95,134,0,0,FALSE
13,20,1.5385,1.5385,12,40,3.33,40,0,1,FALSE
42,93,2.2143,2.2143,18,186,4.54,146,0,0,FALSE
35,66,1.8857,1.8857,14,132,4,94,0,31,FALSE
20,36,1.8,1.8,14,72,3.79,72,0,4,FALSE
19,32,1.6842,1.6842,12,64,3.56,62,0,6,FALSE
22,47,2.1364,2.1364,17,94,4.48,100,1.67559,972,FALSE
10,15,1.5,1.5,8,30,3.33,30,0,1,FALSE
19,28,1.4737,1.4737,12,56,3.11,56,0,3,FALSE
16,25,1.5625,1.5625,9,50,3.33,66,0,0,FALSE
15,22,1.4667,1.4667,10,44,3.14,44,0,2,FALSE
12,19,1.5833,1.5833,10,38,3.45,36,0,7,FALSE
13,19,1.4615,1.4615,11,38,3.45,38,0,0,FALSE
6,5,0.8333,0.8333,5,10,2,10,0,1,FALSE
12,18,1.5,1.5,10,36,3.27,36,0,2,FALSE
21,31,1.4762,1.4762,10,62,3.1,62,0,1,FALSE
31,54,1.7419,1.7419,13,108,3.72,66,0.629249,19,FALSE
39,85,2.1795,2.1795,19,170,4.59,144,0,0,FALSE
11,15,1.3636,1.3636,7,30,3,88,0.642092,0,FALSE
30,65,2.1667,2.1667,20,130,4.48,130,0.722745,1096,FALSE
20,31,1.55,1.55,11,62,3.26,42,0,14,FALSE
23,35,1.5217,1.5217,14,70,3.33,70,0,4,FALSE
31,52,1.6774,1.6774,15,104,3.47,102,0,0,FALSE
21,32,1.5238,1.5238,12,64,3.2,52,0,0,FALSE
6,5,0.8333,0.8333,5,10,2,10,0.954434,6,FALSE
11,16,1.4545,1.4545,9,32,3.2,28,0,2,FALSE
34,77,2.2647,2.2647,21,154,4.67,104,1.47663,52,FALSE
16,25,1.5625,1.5625,11,50,3.33,48,0,0,FALSE
29,54,1.8621,1.8621,15,108,3.86,102,0.490342,29,FALSE
26,45,1.7308,1.7308,13,90,3.6,90,0,1,FALSE
12,19,1.5833,1.5833,11,38,3.45,38,0,6,FALSE
34,65,1.9118,1.9118,18,130,3.94,108,1.34021,30,FALSE
23,37,1.6087,1.6087,11,74,3.36,74,0.94566,6,FALSE
16,25,1.5625,1.5625,12,50,3.33,50,0.811278,3,FALSE
29,52,1.7931,1.7931,15,104,3.71,98,0,0,FALSE
10,14,1.4,1.4,8,28,3.11,28,0,16,FALSE
17,25,1.4706,1.4706,8,50,3.12,50,0,5,FALSE
14,21,1.5,1.5,11,42,3.5,42,0,3,FALSE
6,7,1.1667,1.1667,5,14,2.8,14,0,0,FALSE
36,70,1.9444,1.9444,16,140,4.12,130,0,0,FALSE
19,29,1.5263,1.5263,9,58,3.22,58,0,1,FALSE
35,67,1.9143,1.9143,19,134,3.94,128,1.88431,7,FALSE
40,85,2.125,2.125,20,170,4.36,152,0,0,FALSE
