add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_sum_degree,contains_bug
26,45,1.7308,1.7308,16,90,3.6,31,68,136,TRUE
39,95,2.4359,2.4359,23,190,5,39,94,188,TRUE
47,119,2.5319,2.5319,26,238,5.17,35,68,136,TRUE
45,93,2.0667,2.0667,18,186,4.23,11,17,34,TRUE
30,62,2.0667,2.0667,15,124,4.28,30,62,124,TRUE
36,72,2,2,15,144,4.11,35,68,136,TRUE
33,59,1.7879,1.7879,15,118,3.69,11,17,34,TRUE
21,32,1.5238,1.5238,12,64,3.2,21,32,64,TRUE
39,84,2.1538,2.1538,19,168,4.42,39,84,168,TRUE
17,30,1.7647,1.7647,12,60,3.75,17,30,60,TRUE
44,96,2.1818,2.1818,17,192,4.47,22,40,80,TRUE
42,85,2.0238,2.0238,17,170,4.15,11,17,34,TRUE
50,123,2.46,2.46,30,246,5.02,49,121,242,TRUE
50,135,2.7,2.7,29,270,5.51,51,142,284,TRUE
9,12,1.3333,1.3333,7,24,3,9,12,24,TRUE
42,88,2.0952,2.0952,17,176,4.29,40,81,162,TRUE
27,53,1.963,1.963,15,106,4.08,24,44,88,TRUE
44,87,1.9773,1.9773,17,174,4.05,11,17,34,TRUE
43,87,2.0233,2.0233,17,174,4.14,11,17,34,TRUE
34,77,2.2647,2.2647,20,154,4.67,9,12,24,TRUE
30,59,1.9667,1.9667,16,118,4.07,30,59,118,TRUE
22,38,1.7273,1.7273,12,76,3.62,17,27,54,TRUE
45,93,2.0667,2.0667,22,186,4.23,26,47,94,TRUE
44,94,2.1364,2.1364,17,188,4.37,11,17,34,TRUE
41,88,2.1463,2.1463,17,176,4.4,39,82,164,TRUE
14,23,1.6429,1.6429,12,46,3.54,14,23,46,TRUE
32,60,1.875,1.875,14,120,3.87,29,52,104,TRUE
21,35,1.6667,1.6667,13,70,3.5,21,35,70,TRUE
39,80,2.0513,2.0513,17,160,4.21,22,39,78,TRUE
47,115,2.4468,2.4468,28,230,5,44,108,216,TRUE
11,14,1.2727,1.2727,7,28,3.11,11,14,28,TRUE
31,63,2.0323,2.0323,15,126,4.2,31,61,122,TRUE
15,25,1.6667,1.6667,13,50,3.57,27,48,96,TRUE
35,70,2,2,17,140,4.12,35,70,140,TRUE
27,53,1.963,1.963,17,106,4.08,27,53,106,TRUE
26,47,1.8077,1.8077,15,94,3.76,26,47,94,TRUE
23,41,1.7826,1.7826,15,82,3.73,19,35,70,TRUE
37,82,2.2162,2.2162,18,164,4.56,37,82,164,TRUE
23,44,1.913,1.913,13,88,4,22,39,78,TRUE
44,111,2.5227,2.5227,20,222,5.16,35,76,152,TRUE
14,24,1.7143,1.7143,12,48,3.69,14,24,48,TRUE
36,84,2.3333,2.3333,19,168,4.8,36,82,164,TRUE
30,55,1.8333,1.8333,15,110,3.79,30,55,110,TRUE
35,84,2.4,2.4,24,168,4.94,35,84,168,TRUE
31,69,2.2258,2.2258,19,138,4.6,31,69,138,TRUE
42,100,2.381,2.381,24,200,4.88,43,99,198,TRUE
35,72,2.0571,2.0571,16,144,4.24,35,72,144,TRUE
17,29,1.7059,1.7059,14,58,3.62,17,29,58,TRUE
39,83,2.1282,2.1282,19,166,4.37,38,81,162,TRUE
41,85,2.0732,2.0732,17,170,4.25,38,78,156,TRUE
33,80,2.4242,2.4242,19,160,5,28,56,112,TRUE
50,125,2.5,2.5,33,250,5.1,48,123,246,TRUE
9,12,1.3333,1.3333,7,24,3,9,12,24,TRUE
38,70,1.8421,1.8421,18,140,3.78,22,29,58,TRUE
34,61,1.7941,1.7941,16,122,3.7,11,17,34,TRUE
28,48,1.7143,1.7143,15,96,3.56,28,45,90,TRUE
15,21,1.4,1.4,10,42,3.23,15,21,42,TRUE
36,82,2.2778,2.2778,19,164,4.69,36,82,164,TRUE
16,29,1.8125,1.8125,12,58,3.87,16,29,58,TRUE
13,21,1.6154,1.6154,9,42,3.5,13,21,42,TRUE
35,65,1.8571,1.8571,16,130,3.82,11,17,34,TRUE
24,47,1.9583,1.9583,14,94,4.09,24,46,92,TRUE
20,28,1.4,1.4,12,56,2.95,20,28,56,TRUE
43,96,2.2326,2.2326,22,192,4.57,43,96,192,TRUE
35,77,2.2,2.2,18,154,4.53,34,75,150,TRUE
18,31,1.7222,1.7222,13,62,3.65,18,31,62,TRUE
44,93,2.1136,2.1136,18,186,4.33,44,93,186,TRUE
17,26,1.5294,1.5294,11,52,3.25,21,33,66,TRUE
9,12,1.3333,1.3333,7,24,3,9,12,24,TRUE
40,76,1.9,1.9,16,152,3.9,40,76,152,TRUE
31,56,1.8065,1.8065,16,112,3.73,11,17,34,TRUE
35,71,2.0286,2.0286,17,142,4.18,35,71,142,TRUE
38,91,2.3947,2.3947,23,182,4.92,38,96,192,TRUE
39,85,2.1795,2.1795,20,170,4.47,40,87,174,TRUE
20,32,1.6,1.6,14,64,3.37,15,24,48,TRUE
21,36,1.7143,1.7143,15,72,3.6,15,25,50,TRUE
35,76,2.1714,2.1714,18,152,4.47,34,72,144,TRUE
44,91,2.0682,2.0682,17,182,4.23,11,17,34,TRUE
28,54,1.9286,1.9286,13,108,4,29,54,108,TRUE
37,82,2.2162,2.2162,19,164,4.56,30,62,124,TRUE
18,26,1.4444,1.4444,10,52,3.06,18,26,52,TRUE
9,12,1.3333,1.3333,7,24,3,9,12,24,TRUE
43,87,2.0233,2.0233,17,174,4.14,19,29,58,TRUE
19,32,1.6842,1.6842,14,64,3.56,19,35,70,TRUE
35,74,2.1143,2.1143,18,148,4.35,35,74,148,TRUE
20,33,1.65,1.65,13,66,3.47,20,33,66,TRUE
22,34,1.5455,1.5455,12,68,3.24,22,34,68,TRUE
39,94,2.4103,2.4103,26,188,4.95,39,94,188,TRUE
22,36,1.6364,1.6364,13,72,3.43,22,35,70,TRUE
34,68,2,2,15,136,4.12,14,22,44,TRUE
18,32,1.7778,1.7778,11,64,3.76,18,30,60,TRUE
24,42,1.75,1.75,13,84,3.65,20,33,66,TRUE
35,71,2.0286,2.0286,16,142,4.18,25,51,102,TRUE
37,89,2.4054,2.4054,23,178,4.94,37,89,178,TRUE
27,48,1.7778,1.7778,15,96,3.69,27,49,98,TRUE
31,59,1.9032,1.9032,15,118,3.93,27,49,98,TRUE
35,74,2.1143,2.1143,19,148,4.35,34,72,144,TRUE
32,61,1.9062,1.9062,17,122,3.94,27,51,102,TRUE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,TRUE
37,80,2.1622,2.1622,17,160,4.44,35,72,144,TRUE
53,143,2.6981,2.6981,36,286,5.61,50,133,266,TRUE
36,68,1.8889,1.8889,16,136,3.89,28,49,98,TRUE
38,79,2.0789,2.0789,17,158,4.27,30,55,110,TRUE
35,77,2.2,2.2,21,154,4.53,35,77,154,TRUE
32,69,2.1562,2.1562,19,138,4.45,32,69,138,TRUE
23,38,1.6522,1.6522,11,76,3.45,21,34,68,TRUE
20,37,1.85,1.85,14,74,3.89,20,36,72,TRUE
13,20,1.5385,1.5385,9,40,3.33,13,20,40,TRUE
36,67,1.8611,1.8611,17,134,3.83,11,17,34,TRUE
36,69,1.9167,1.9167,15,138,3.94,17,25,50,TRUE
47,136,2.8936,2.8936,40,272,5.91,47,129,258,TRUE
48,126,2.625,2.625,35,252,5.36,47,123,246,TRUE
37,79,2.1351,2.1351,19,158,4.39,34,68,136,TRUE
21,38,1.8095,1.8095,14,76,3.8,20,33,66,TRUE
31,61,1.9677,1.9677,14,122,4.07,31,61,122,TRUE
23,42,1.8261,1.8261,12,84,3.82,20,33,66,FALSE
12,18,1.5,1.5,9,36,3.27,12,18,36,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
20,34,1.7,1.7,13,68,3.58,11,17,34,FALSE
39,78,2,2,18,156,4.11,34,68,136,FALSE
40,87,2.175,2.175,17,174,4.46,28,58,116,FALSE
20,32,1.6,1.6,12,64,3.37,20,33,66,FALSE
12,19,1.5833,1.5833,10,38,3.45,12,19,38,FALSE
29,57,1.9655,1.9655,16,114,4.07,29,57,114,FALSE
9,12,1.3333,1.3333,7,24,3,9,12,24,FALSE
17,27,1.5882,1.5882,13,54,3.38,13,20,40,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
11,17,1.5455,1.5455,8,34,3.4,25,41,82,FALSE
16,27,1.6875,1.6875,11,54,3.6,16,27,54,FALSE
26,41,1.5769,1.5769,15,82,3.28,20,30,60,FALSE
14,21,1.5,1.5,9,42,3.23,20,32,64,FALSE
29,59,2.0345,2.0345,13,118,4.21,20,39,78,FALSE
17,30,1.7647,1.7647,11,60,3.75,17,30,60,FALSE
11,14,1.2727,1.2727,7,28,3.11,11,14,28,FALSE
14,20,1.4286,1.4286,9,40,3.08,14,20,40,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
9,12,1.3333,1.3333,7,24,3,9,12,24,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
15,25,1.6667,1.6667,11,50,3.57,17,28,56,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
21,36,1.7143,1.7143,13,72,3.6,24,41,82,FALSE
22,41,1.8636,1.8636,16,82,3.9,22,41,82,FALSE
11,18,1.6364,1.6364,9,36,3.6,11,18,36,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
20,42,2.1,2.1,16,84,4.42,21,45,90,FALSE
22,39,1.7727,1.7727,12,78,3.71,11,17,34,FALSE
14,23,1.6429,1.6429,10,46,3.54,13,21,42,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
15,22,1.4667,1.4667,11,44,3.38,15,22,44,FALSE
36,70,1.9444,1.9444,16,140,4,11,17,34,FALSE
26,52,2,2,16,104,4.16,26,53,106,FALSE
25,44,1.76,1.76,11,88,3.83,11,17,34,FALSE
15,25,1.6667,1.6667,13,50,3.57,15,25,50,FALSE
14,25,1.7857,1.7857,9,50,3.85,14,23,46,FALSE
12,19,1.5833,1.5833,10,38,3.45,12,19,38,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
35,67,1.9143,1.9143,14,134,3.94,11,17,34,FALSE
13,21,1.6154,1.6154,11,42,3.5,13,23,46,FALSE
25,41,1.64,1.64,12,82,3.42,13,21,42,FALSE
17,30,1.7647,1.7647,11,60,3.75,17,30,60,FALSE
14,22,1.5714,1.5714,11,44,3.38,14,22,44,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
20,32,1.6,1.6,12,64,3.37,20,33,66,FALSE
42,84,2,2,20,168,4.1,22,36,72,FALSE
14,22,1.5714,1.5714,12,44,3.38,14,22,44,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
21,35,1.6667,1.6667,12,70,3.5,11,17,34,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
30,62,2.0667,2.0667,17,124,4.28,29,60,120,FALSE
13,21,1.6154,1.6154,9,42,3.5,13,21,42,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
14,21,1.5,1.5,10,42,3.23,14,21,42,FALSE
9,12,1.3333,1.3333,7,24,3,9,12,24,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
17,30,1.7647,1.7647,10,60,3.75,13,22,44,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
31,66,2.129,2.129,16,132,4.4,13,20,40,FALSE
24,46,1.9167,1.9167,15,92,4,24,43,86,FALSE
28,51,1.8214,1.8214,15,102,3.78,21,37,74,FALSE
15,25,1.6667,1.6667,10,50,3.57,18,30,60,FALSE
13,20,1.5385,1.5385,9,40,3.64,13,20,40,FALSE
33,62,1.8788,1.8788,16,124,3.88,29,53,106,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
20,33,1.65,1.65,13,66,3.47,23,41,82,FALSE
23,39,1.6957,1.6957,13,78,3.55,23,39,78,FALSE
15,23,1.5333,1.5333,9,46,3.29,15,23,46,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
20,34,1.7,1.7,13,68,3.58,20,34,68,FALSE
13,20,1.5385,1.5385,9,40,3.33,13,20,40,FALSE
25,42,1.68,1.68,11,84,3.5,18,31,62,FALSE
19,34,1.7895,1.7895,11,68,3.78,19,34,68,FALSE
26,48,1.8462,1.8462,17,96,3.84,26,50,100,FALSE
14,20,1.4286,1.4286,9,40,3.08,14,20,40,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
12,20,1.6667,1.6667,10,40,3.64,12,20,40,FALSE
18,31,1.7222,1.7222,15,62,3.65,28,47,94,FALSE
12,19,1.5833,1.5833,10,38,3.45,21,33,66,FALSE
16,25,1.5625,1.5625,13,50,3.33,16,25,50,FALSE
21,39,1.8571,1.8571,14,78,3.9,21,39,78,FALSE
33,60,1.8182,1.8182,14,120,3.75,33,61,122,FALSE
18,29,1.6111,1.6111,13,58,3.41,14,23,46,FALSE
40,89,2.225,2.225,20,178,4.56,22,42,84,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,25,50,FALSE
11,17,1.5455,1.5455,8,34,3.4,42,81,162,FALSE
20,32,1.6,1.6,14,64,3.37,16,26,52,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
16,28,1.75,1.75,12,56,3.73,19,33,66,FALSE
26,47,1.8077,1.8077,13,94,3.76,27,50,100,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
35,76,2.1714,2.1714,16,152,4.47,35,76,152,FALSE
20,32,1.6,1.6,12,64,3.37,21,33,66,FALSE
20,32,1.6,1.6,10,64,3.37,19,32,64,FALSE
13,22,1.6923,1.6923,9,44,3.67,13,22,44,FALSE
17,26,1.5294,1.5294,10,52,3.25,11,17,34,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
13,21,1.6154,1.6154,9,42,3.5,13,21,42,FALSE
26,52,2,2,16,104,4.16,25,49,98,FALSE
31,61,1.9677,1.9677,14,122,4.07,31,61,122,FALSE
34,62,1.8235,1.8235,15,124,3.76,16,24,48,FALSE
17,33,1.9412,1.9412,13,66,4.12,17,33,66,FALSE
21,33,1.5714,1.5714,15,66,3.3,16,26,52,FALSE
21,36,1.7143,1.7143,13,72,3.6,15,22,44,FALSE
13,22,1.6923,1.6923,9,44,3.67,13,22,44,FALSE
15,26,1.7333,1.7333,13,52,3.71,15,26,52,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
24,46,1.9167,1.9167,16,92,4,24,46,92,FALSE
33,74,2.2424,2.2424,19,148,4.62,33,74,148,FALSE
22,34,1.5455,1.5455,13,68,3.24,22,33,66,FALSE
15,26,1.7333,1.7333,13,52,3.71,15,26,52,FALSE
35,76,2.1714,2.1714,16,152,4.47,35,76,152,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
33,64,1.9394,1.9394,18,128,4,33,64,128,FALSE
12,19,1.5833,1.5833,10,38,3.45,12,19,38,FALSE
25,49,1.96,1.96,13,98,4.08,25,49,98,FALSE
20,30,1.5,1.5,10,60,3.16,16,24,48,FALSE
23,40,1.7391,1.7391,16,80,3.64,23,39,78,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
11,16,1.4545,1.4545,7,32,3.2,11,16,32,FALSE
11,17,1.5455,1.5455,8,34,3.4,15,24,48,FALSE
34,62,1.8235,1.8235,16,124,3.76,34,62,124,FALSE
11,18,1.6364,1.6364,9,36,3.6,11,17,34,FALSE
26,46,1.7692,1.7692,16,92,3.68,28,50,100,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
12,19,1.5833,1.5833,8,38,3.45,12,17,34,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
18,31,1.7222,1.7222,15,62,3.65,28,47,94,FALSE
23,40,1.7391,1.7391,13,80,3.64,23,40,80,FALSE
12,20,1.6667,1.6667,9,40,3.64,12,20,40,FALSE
23,38,1.6522,1.6522,14,76,3.45,23,38,76,FALSE
23,40,1.7391,1.7391,16,80,3.64,23,39,78,FALSE
12,19,1.5833,1.5833,10,38,3.45,12,19,38,FALSE
10,13,1.3,1.3,8,26,2.89,10,13,26,FALSE
18,30,1.6667,1.6667,9,60,3.53,13,21,42,FALSE
20,32,1.6,1.6,10,64,3.37,19,32,64,FALSE
13,22,1.6923,1.6923,9,44,3.67,13,23,46,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
19,35,1.8421,1.8421,11,70,3.89,19,35,70,FALSE
10,15,1.5,1.5,8,30,3.33,10,15,30,FALSE
14,23,1.6429,1.6429,10,46,3.54,14,23,46,FALSE
22,39,1.7727,1.7727,14,78,3.71,20,36,72,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
12,19,1.5833,1.5833,9,38,3.45,12,19,38,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
14,22,1.5714,1.5714,11,44,3.38,14,22,44,FALSE
11,18,1.6364,1.6364,8,36,3.6,11,18,36,FALSE
15,26,1.7333,1.7333,13,52,3.71,15,26,52,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,25,50,FALSE
17,28,1.6471,1.6471,12,56,3.5,17,28,56,FALSE
14,22,1.5714,1.5714,12,44,3.38,14,22,44,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
29,55,1.8966,1.8966,18,110,3.93,29,55,110,FALSE
37,72,1.9459,1.9459,15,144,4,37,72,144,FALSE
38,72,1.8947,1.8947,17,144,3.89,38,73,146,FALSE
16,27,1.6875,1.6875,13,54,3.6,10,13,26,FALSE
13,19,1.4615,1.4615,9,38,3.45,13,21,42,FALSE
13,21,1.6154,1.6154,11,42,3.5,13,21,42,FALSE
14,25,1.7857,1.7857,9,50,3.85,14,25,50,FALSE
26,52,2,2,16,104,4.16,26,53,106,FALSE
11,17,1.5455,1.5455,8,34,3.4,11,17,34,FALSE
11,16,1.4545,1.4545,7,32,3.2,11,16,32,FALSE
12,18,1.5,1.5,9,36,3.27,13,20,40,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
20,29,1.45,1.45,11,58,3.05,20,29,58,FALSE
26,48,1.8462,1.8462,17,96,3.84,26,50,100,FALSE
9,12,1.3333,1.3333,7,24,3,9,12,24,FALSE
13,21,1.6154,1.6154,8,42,3.5,13,21,42,FALSE
