0,1,2,3,4,5,6
1.0,1.0,33.0,33.0,11.0,91.0,1.0
1.0,1.0,1.0,1.0,5.0,23.0,0.0
4.0,5.0,131.0,35.0,20.0,11.0,0.0
1.0,1.0,2.0,1.66948695519819,18.0,229.33051304480185,1.0
7.0,7.0,49.0,49.0,5.0,108.0,0.0
1.0,1.0,1.0,2.0,18.0,6.0,0.0
2.0,3.0,98.0,23.0,18.0,57.0,0.0
1.0,1.0,32.0,8.0,5.0,19.0,0.0
100.75310530955588,136.96701501607996,9258.329305143085,9328.800145068424,11.6582216115322,3173.785312392578,1.0
1.0,1.0,31.0,31.0,4.0,21.0,0.0
1.0,1.0,5.0,1.0,18.0,225.0,1.0
3.0,5.0,87.0,0.0,1.0,0.0,0.0
1.0,1.0,3.0,3.0,11.0,17.0,0.0
2.0,8.0,238.0,0.0,10.0,3.0,0.0
1.0,2.0,5.0,9.0,18.0,61.0,1.0
2.0,2.0,2.0,2.0,20.0,102.0,0.0
1.0,1.0,8.0,4.0,16.0,26.0,0.0
1.0,1.0,30.0,0.0,18.0,27.0,1.0
3.0,3.0,64.0,12.0,20.0,17.30390154776215,1.0
1.0,1.0,0.0,4.0,20.0,9.0,0.0
1.0218233967754895,2.0,323.05771768698145,0.0,1.0,0.0,1.0
1.0,1.0,35.0,2.0,18.0,46.0,0.0
1.0,1.0,3.512830382317212,2.005132152926885,13.0,31.49743392353656,1.0
1.8380992402236411,2.257148860335462,78.50483594413737,92.78090835753994,13.323801519552717,159.83809924022364,1.0
3.0,3.0,18.0,16.0,4.0,34.0,0.0
2.0,4.0,181.0,133.0,18.0,280.0,1.0
1.0,1.0,3.0,1.0,18.0,20.0,0.0
1.0,1.0,1.0,1.0,17.0,26.0,0.0
1.0,1.0,21.0,8.0,20.0,26.0,0.0
12.236805781494317,14.427604336120735,302.57239566387926,218.7138021680604,19.809201445373574,70.24357542864917,1.0
1.0,7.0,7.0,11.0,5.0,122.0,1.0
1.0,1.0,1.0,1.0,2.0,4.0,0.0
1.0,2.0,13.0,0.0,5.0,28.0,1.0
1.0,4.0,288.0,339.0,5.0,25.0,1.0
2.0,2.0,7.0,4.0,18.0,40.0,0.0
1.0,1.0,2.0,2.0,19.0,13.0,0.0
1.0,1.0,2.0,2.0,12.0,53.0,0.0
4.0,4.0,37.0,0.0,3.0,26.0,1.0
1.0,1.0,1.2067386495617456,1.2067386495617456,4.0,1.2067386495617456,1.0
1.8093934681450217,2.809393468145022,36.80939346814503,11.618786936290045,3.785909797782467,26.143639191129868,1.0
1.0,1.846308957155796,13.538926871467387,15.924162700090568,3.307382085688409,29.538926871467385,1.0
1.0,1.0,4.805377488179235,2.194622511820765,2.0,1.38924502364153,1.0
2.0,2.0,5.0,3.0,16.0,24.0,0.0
1.0,1.0,1.025215039951518,0.987392480024241,16.98739248002424,1.0,1.0
2.11755130015022,2.11755130015022,64.0,3.1755130015022,16.47020520060088,13.11755130015022,1.0
2.0359711528344864,3.0,16.892086541496543,6.215826917006917,17.892086541496543,210.92805769433105,1.0
1.0,2.0,10.0,0.0,1.0,0.0,0.0
1.0,1.0,11.0,22.0,18.0,305.0,0.0
1.0,1.0,1.0,1.0,5.0,20.0,0.0
1.0,1.0,7.0,6.0,2.0,2.0,0.0
5.120519026984183,9.680778540476275,23.80129756746046,14.560259513492092,18.0,403.7654497833339,1.0
1.0,1.0,1.0,1.0,18.0,25.0,1.0
2.0,2.0,17.0,9.0,18.0,104.0,0.0
1.5930443341867842,2.1860886683735683,18.220866997439646,6.813911331626432,18.0,210.5930443341868,1.0
2.0,2.0,32.0,1.0,18.0,23.0,0.0
1.0,1.0,1.0,1.0,11.0,5.0,1.0
1.0,1.3227256021107674,111.0636463873354,68.12729277467079,7.097716413719988,19.67727439788923,1.0
1.0,1.0,4.0,3.0,2.0,3.0,1.0
5.0,6.0,131.0,88.0,16.0,277.0,1.0
1.0,1.0,15.0,2.0,4.0,44.0,0.0
3.7688166732770174,9.537633346554037,80.15591663361491,243.14111270326828,18.0,385.44756272309934,1.0
1.0,1.0,1.0,2.0,18.0,6.0,0.0
1.0,2.0,1.0,2.0,5.0,95.0,0.0
2.0,3.0,10.0,0.0,1.0,0.0,0.0
1.0,1.0,7.0,4.0,16.0,171.0,1.0
2.0,2.0,32.0,1.0,18.0,23.0,0.0
5.0,16.0,175.0,162.0,19.0,554.0,1.0
2.0,2.0,15.0,14.0,18.0,41.0,1.0
2.0,2.0,4.0,42.0,11.0,7.0,0.0
1.0,1.0,1.0,1.0,5.0,28.0,1.0
2.0,2.0,30.0,4.0,13.0,142.0,1.0
7.0,8.0,38.0,13.0,18.0,188.0,1.0
1.0,1.0,1.0,0.0,16.0,12.0,0.0
2.0,2.0,58.0,58.0,19.0,69.0,0.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,16.0,0.0,11.0,4.0,1.0
1.6395444415832934,2.6395444415832934,36.6395444415833,11.279088883166589,4.04068333762506,27.16273335050024,1.0
5.0,5.0,16.0,7.0,12.0,126.0,0.0
1.0,1.0,13.0,1.0,5.0,5.0,0.0
1.0,1.0,4.512938081181064,2.487061918818936,2.0,1.974123837637872,1.0
1.0,1.0,2.0,13.0,4.0,22.0,0.0
1.0,1.0,1.0,1.0,4.0,26.0,0.0
1.0,1.0,41.0,7.0,16.0,1.0,0.0
1.0,1.0,6.0,0.0,18.0,228.0,0.0
1.0,1.0,1.0,0.0,11.0,40.0,0.0
17.0,17.0,42.0,34.0,18.0,81.0,1.0
3.0,6.0,4.0,21.0,3.0,39.0,0.0
1.0,1.0,6.0,3.0,1.0,0.0,0.0
1.0,1.0,3.0,5.0,5.0,15.0,1.0
1.0,1.0,2.0,1.0,17.0,9.0,1.0
1.0,1.0,5.0,4.0,2.0,13.0,0.0
1.0,1.0,1.0,0.0,20.0,33.0,0.0
5.0,6.0,112.0,124.0,17.0,55.0,0.0
1.0,4.0,33.0,81.0,2.0,16.0,1.0
1.0,2.0,113.0,7.0,4.0,54.0,1.0
1.0,1.0,2.0,2.0,18.0,50.0,0.0
1.0,1.0,1.0,1.0,18.0,55.0,0.0
1.0,1.0,2.0,1.0,2.0,5.0,0.0
6.0,8.0,199.0,27.0,18.0,132.0,1.0
1.0,2.0,21.0,2.0,8.0,124.0,1.0
1.0,1.0,7.0,1.0,18.0,31.0,1.0
2.0,2.0,0.0,6.0,11.0,18.0,0.0
1.0,2.0,63.0,43.0,18.0,89.0,1.0
1.0,1.0,1.0,1.0,12.0,130.0,0.0
1.0,1.0,1.0,0.0,5.0,20.0,0.0
2.0,2.0,3.0,2.0,16.0,102.0,0.0
1.0,1.0,1.0,1.0,18.0,33.0,0.0
4.0,4.0,8.0,8.0,12.0,4.0,0.0
1.0,1.0,16.0,0.0,18.0,77.0,0.0
1.0,1.0,1.0,1.0,2.0,2.0,0.0
5.0,10.0,50.0,21.0,19.0,434.0,1.0
1.0,1.0,1.0,0.0,13.0,146.0,1.0
4.005133682830233,7.020534731320931,330.85112319792324,101.10267365660464,11.03593577981163,159.7484495413186,1.0
1.0,1.0,33.0,33.0,11.0,91.0,1.0
1.0,1.0,69.0,68.0,11.0,49.0,0.0
1.0,1.0,0.0,1.0,5.0,29.0,0.0
2.0,2.0,6.0,5.0,18.0,33.0,0.0
1.0,1.0,61.38447500949516,54.19223750474758,16.499869651674075,44.07684286256866,1.0
1.0,1.0,1.0,1.0,20.0,18.0,0.0
3.0,3.0,0.0,0.0,4.0,37.0,0.0
92.0,95.0,52.0,236.0,11.0,2528.0,1.0
2.0,2.0,14.0,13.0,11.0,121.0,0.0
1.0,1.0,5.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,17.0,1.0,1.0
2.0,2.0,236.0,0.0,1.0,0.0,1.0
