add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree,contains_bug
0,0,0,0,0,0,0,0,0,0,FALSE
17,23,1.3529,1.3529,8,46,2,18,26,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,34,1.5455,1.5455,11,68,3,19,29,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
36,70,1.9444,1.9444,14,140,3,39,81,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,51,1.7586,1.7586,12,102,3,23,35,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
17,25,1.4706,1.4706,8,50,2,17,25,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,12,1.3333,1.3333,6,24,2,9,12,6,FALSE
33,67,2.0303,2.0303,14,134,4,31,54,12,FALSE
4,3,0.75,0.75,3,6,1,4,3,3,FALSE
0,0,0,0,0,0,0,3,3,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
17,23,1.3529,1.3529,8,46,2,18,26,9,FALSE
30,54,1.8,1.8,14,108,3,8,12,7,FALSE
17,23,1.3529,1.3529,8,46,2,3,3,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,32,1.5238,1.5238,9,64,3,21,33,9,FALSE
14,18,1.2857,1.2857,8,36,2,0,0,0,FALSE
24,39,1.625,1.625,11,78,3,24,39,11,FALSE
33,68,2.0606,2.0606,14,136,4,37,88,20,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,49,1.6897,1.6897,8,98,3,25,42,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,9,1.125,1.125,5,18,2,9,11,6,FALSE
29,49,1.6897,1.6897,11,98,3,16,23,10,FALSE
21,30,1.4286,1.4286,9,60,2,20,27,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
24,39,1.625,1.625,11,78,3,23,39,11,FALSE
18,24,1.3333,1.3333,8,48,2,0,0,0,FALSE
9,13,1.4444,1.4444,7,26,2,11,16,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,13,1.4444,1.4444,8,26,2,9,13,8,FALSE
13,19,1.4615,1.4615,8,38,2,9,13,7,FALSE
13,18,1.3846,1.3846,8,36,2,8,9,6,FALSE
7,9,1.2857,1.2857,5,18,2,3,3,4,FALSE
17,24,1.4118,1.4118,6,48,2,16,24,8,FALSE
3,3,1,1,4,6,2,3,3,4,FALSE
12,14,1.1667,1.1667,6,28,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
