contains_bug,entropy,add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree
True,3.716378096,44,98,2.2273,19,196,4,39,76,16
True,2.01096466,33,74,2.2424,16,148,4,22,38,12
True,0.0,10,13,1.3,6,26,2,10,13,6
True,0.235193382,27,46,1.7037,11,92,3,0,0,0
True,3.17337797,20,30,1.5,10,60,3,30,53,15
True,0.721928095,0,0,0.0,0,0,0,0,0,0
True,3.101312387,31,70,2.2581,15,140,4,48,117,24
True,3.605280347,22,33,1.5,13,66,3,30,51,15
True,2.881467286,4,3,0.75,4,6,2,4,3,4
True,4.208581537,28,42,1.5,11,84,3,53,128,29
True,1.983058229,29,44,1.5172,10,88,3,16,21,7
True,0.804746952,18,27,1.5,9,54,3,25,42,12
True,0.43067168,23,36,1.5652,11,72,3,34,73,15
True,2.808732133,7,10,1.4286,5,20,2,7,10,5
True,0.0,9,9,1.0,4,18,2,9,9,4
True,2.756372905,23,36,1.5652,11,72,3,12,17,8
True,1.351644115,21,29,1.381,10,58,2,20,28,9
True,1.461838199,23,38,1.6522,11,76,3,16,26,8
True,0.0,25,41,1.64,11,82,3,23,35,11
True,2.766988163,16,25,1.5625,10,50,3,11,16,9
True,8.003589699,40,83,2.075,20,166,4,40,83,20
True,0.580195495,25,41,1.64,12,82,3,12,17,8
True,0.278669804,31,54,1.7419,12,108,3,18,27,7
True,0.0,31,58,1.871,13,116,3,27,49,12
True,0.0,11,13,1.1818,4,26,2,0,0,0
True,0.286396957,26,43,1.6538,11,86,3,24,36,8
True,0.0,13,17,1.3077,7,34,2,7,9,5
True,4.48717862,38,83,2.1842,16,166,4,26,55,15
True,8.68940343,0,0,0.0,0,0,0,0,0,0
True,8.870070629,0,0,0.0,0,0,0,0,0,0
True,10.13909043,0,0,0.0,0,0,0,0,0,0
True,2.802913941,27,42,1.5556,12,84,3,23,32,12
True,8.226503251,0,0,0.0,0,0,0,0,0,0
False,0.0,12,20,1.6667,8,40,3,0,0,0
False,0.721928095,10,14,1.4,6,28,2,9,11,6
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.996791632,23,35,1.5217,12,70,3,4,2,2
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,19,26,1.3684,8,52,2,18,25,8
False,0.0,25,42,1.68,10,84,3,20,34,10
False,0.0,18,26,1.4444,9,52,2,12,19,9
False,3.090045028,20,33,1.65,12,66,3,16,25,9
False,4.480719728,8,8,1.0,4,16,2,8,8,4
False,0.391243564,15,20,1.3333,8,40,2,14,19,8
False,0.0,7,10,1.4286,5,20,2,18,25,9
False,0.0,11,16,1.4545,8,32,2,11,18,9
False,4.847394584,16,23,1.4375,10,46,2,20,35,11
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,1.216346412,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.301378644,11,17,1.5455,9,34,3,30,53,16
False,1.298653215,25,41,1.64,10,82,3,14,18,8
False,0.0,13,17,1.3077,7,34,2,0,0,0
False,0.481767841,30,51,1.7,12,102,3,29,50,12
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,1.584962501,8,8,1.0,5,16,2,8,8,5
False,0.735508582,0,0,0.0,0,0,0,0,0,0
False,0.391243564,15,20,1.3333,8,40,2,14,19,8
False,0.0,18,25,1.3889,9,50,2,17,25,9
False,0.488908591,21,31,1.4762,11,62,2,12,18,10
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.99107606,7,9,1.2857,5,18,2,7,9,5
False,0.0,18,27,1.5,8,54,3,0,0,0
False,0.0,7,9,1.2857,5,18,2,7,9,5
False,0.0,18,26,1.4444,9,52,2,18,24,8
False,0.0,27,47,1.7407,10,94,3,19,33,9
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,5.488510162,14,20,1.4286,8,40,2,11,15,7
False,0.0,0,0,0.0,0,0,0,0,0,0
False,3.444231936,0,0,0.0,0,0,0,0,0,0
False,1.707085519,0,0,0.0,0,0,0,35,65,14
False,0.0,0,0,0.0,0,0,0,23,36,11
False,1.034986808,8,9,1.125,4,18,2,0,0,0
False,0.0,22,35,1.5909,10,70,3,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,2.863919487,0,0,0.0,0,0,0,0,0,0
False,0.684038436,12,17,1.4167,7,34,2,8,11,6
False,0.0,0,0,0.0,0,0,0,0,0,0
False,1.002377477,15,22,1.4667,8,44,2,15,21,8
False,1.584962501,8,8,1.0,5,16,2,8,8,5
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,1.0,0,0,0.0,0,0,0,0,0,0
False,0.0,13,17,1.3077,7,34,2,13,17,7
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,1.493922667,25,41,1.64,10,82,3,14,18,8
False,0.799048521,18,23,1.2778,8,46,2,8,9,6
False,0.0,7,10,1.4286,5,20,2,17,25,9
False,1.762196906,7,6,0.8571,3,12,1,36,67,15
False,0.811278124,27,48,1.7778,10,96,3,17,28,8
False,0.0,0,0,0.0,0,0,0,8,11,6
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.110580845,0,0,0.0,0,0,0,0,0,0
False,1.023730431,13,18,1.3846,7,36,2,38,69,15
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.347656509,0,0,0.0,0,0,0,0,0,0
False,0.945660305,0,0,0.0,0,0,0,0,0,0
False,2.013641022,20,25,1.25,8,50,2,10,13,7
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.99107606,0,0,0.0,0,0,0,0,0,0
False,0.969431155,22,37,1.6818,11,74,3,24,39,12
False,0.0,8,9,1.125,4,18,2,8,9,4
False,0.0,0,0,0.0,0,0,0,0,0,0
