contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree
True,5,4,0.8,0.8,4,8,1,1,9,7
True,20,32,1.6,1.6,11,64,3,2,21,13
True,29,52,1.7931,1.7931,12,104,3,3,24,10
True,22,32,1.4545,1.4545,10,64,3,2,20,9
True,20,31,1.55,1.55,9,62,3,3,28,14
True,17,24,1.4118,1.4118,8,48,2,2,18,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,27,46,1.7037,1.7037,12,92,3,2,21,9
True,5,6,1.2,1.2,5,12,2,2,27,17
True,21,37,1.7619,1.7619,11,74,3,3,20,10
True,10,14,1.4,1.4,9,28,2,2,10,9
True,15,21,1.4,1.4,7,42,2,2,9,4
True,19,28,1.4737,1.4737,7,56,2,2,12,5
True,24,41,1.7083,1.7083,10,82,3,2,26,12
True,33,63,1.9091,1.9091,16,126,3,3,27,16
True,30,62,2.0667,2.0667,14,124,4,3,28,11
True,28,54,1.9286,1.9286,14,108,4,3,28,14
True,26,45,1.7308,1.7308,11,90,3,2,18,7
True,32,53,1.6562,1.6562,12,106,3,2,32,12
True,12,15,1.25,1.25,4,30,2,2,12,4
True,29,53,1.8276,1.8276,14,106,3,3,0,0
True,4,5,1.25,1.25,4,10,2,2,26,14
True,28,54,1.9286,1.9286,13,108,3,3,29,16
True,32,58,1.8125,1.8125,13,116,3,2,34,14
True,0,0,0.0,0.0,0,0,0,0,0,0
True,29,60,2.069,2.069,14,120,4,3,27,14
True,18,27,1.5,1.5,9,54,3,2,13,7
True,3,2,0.6667,0.6667,2,4,1,1,9,6
True,24,40,1.6667,1.6667,14,80,3,2,32,13
True,8,8,1.0,1.0,4,16,2,2,11,6
True,26,55,2.1154,2.1154,16,110,4,3,25,15
True,24,40,1.6667,1.6667,11,80,3,2,14,8
True,25,41,1.64,1.64,12,82,3,3,25,12
True,13,15,1.1538,1.1538,7,30,2,2,0,0
True,5,4,0.8,0.8,4,8,1,1,0,0
True,17,25,1.4706,1.4706,8,50,2,2,12,6
True,29,58,2.0,2.0,13,116,4,3,28,12
True,22,39,1.7727,1.7727,10,78,3,2,19,9
True,26,43,1.6538,1.6538,10,86,3,2,24,13
True,25,39,1.56,1.56,9,78,3,2,17,8
True,18,23,1.2778,1.2778,8,46,2,2,10,7
True,11,12,1.0909,1.0909,4,24,2,2,11,4
True,7,7,1.0,1.0,4,14,2,2,7,4
True,24,40,1.6667,1.6667,11,80,3,2,22,11
True,14,18,1.2857,1.2857,8,36,2,2,0,0
True,32,55,1.7188,1.7188,15,110,3,2,24,13
True,20,35,1.75,1.75,9,70,3,3,18,9
True,34,60,1.7647,1.7647,14,120,3,3,16,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,19,26,1.3684,1.3684,9,52,2,2,19,9
True,14,19,1.3571,1.3571,7,38,2,2,13,6
True,26,45,1.7308,1.7308,11,90,3,3,21,11
True,10,12,1.2,1.2,4,24,2,2,0,0
True,7,7,1.0,1.0,4,14,2,2,7,4
True,27,50,1.8519,1.8519,17,100,3,2,16,11
True,7,9,1.2857,1.2857,4,18,2,3,0,0
True,26,42,1.6154,1.6154,10,84,3,2,26,9
True,10,10,1.0,1.0,5,20,2,2,5,4
True,0,0,0.0,0.0,0,0,0,0,0,0
True,10,10,1.0,1.0,5,20,2,2,5,4
True,14,15,1.0714,1.0714,6,30,2,2,9,4
True,21,31,1.4762,1.4762,11,62,2,2,21,11
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,17,25,1.4706,1.4706,8,50,2,2,8,5
True,16,23,1.4375,1.4375,10,46,3,2,15,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,31,60,1.9355,1.9355,14,120,3,3,22,13
True,8,8,1.0,1.0,5,16,2,2,7,5
True,17,30,1.7647,1.7647,11,60,3,2,40,19
True,41,89,2.1707,2.1707,19,178,4,3,11,9
True,14,14,1.0,1.0,4,28,2,2,7,4
True,0,0,0.0,0.0,0,0,0,0,0,0
True,23,35,1.5217,1.5217,9,70,3,2,10,7
True,23,33,1.4348,1.4348,8,66,2,2,22,8
True,31,51,1.6452,1.6452,12,102,3,2,28,11
True,24,38,1.5833,1.5833,14,76,3,2,24,14
True,3,3,1.0,1.0,4,6,2,1,10,8
True,6,5,0.8333,0.8333,5,10,1,1,0,0
