contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes
True,8.0,8.0,1.0,1.0,4.0,16.0,2.0,2.0,0.0,8.0
True,11.0,13.0,1.1818,1.1818,5.0,26.0,2.0,2.0,1.0,11.0
True,29.0,46.0,1.5862,1.5862,10.0,92.0,3.0,2.0,1.0,0.0
True,9.0,11.0,1.2222,1.2222,6.0,22.0,2.0,2.0,1.0,7.0
True,21.0,33.0,1.5714,1.5714,9.0,66.0,3.0,2.0,1.0,21.0
True,21.0,39.0,1.8571,1.8571,12.0,78.0,3.0,3.0,1.0,12.0
True,10.0,11.0,1.1,1.1,5.0,22.0,2.0,2.0,1.0,10.0
True,24.0,39.0,1.625,1.625,11.0,78.0,3.0,2.0,1.0,0.0
True,24.0,37.0,1.5417,1.5417,9.0,74.0,3.0,2.0,1.0,24.0
True,32.0,61.0,1.9062,1.9062,16.0,122.0,3.0,3.0,1.0,32.0
True,29.0,55.0,1.8966,1.8966,13.0,110.0,3.0,3.0,2.0,21.0
True,13.0,17.0,1.3077,1.3077,7.0,34.0,2.0,2.0,1.0,5.0
True,8.0,9.0,1.125,1.125,4.0,18.0,2.0,2.0,1.0,13.0
True,19.0,28.0,1.4737,1.4737,10.0,56.0,2.0,2.0,1.0,12.0
True,33.0,59.0,1.7879,1.7879,17.0,118.0,3.0,3.0,1.0,31.0
True,8.0,9.0,1.125,1.125,4.0,18.0,2.0,2.0,1.0,0.0
True,9.0,13.0,1.4444,1.4444,7.0,26.0,2.0,2.0,1.0,9.0
True,15.0,20.0,1.3333,1.3333,7.0,40.0,2.0,2.0,1.0,13.0
True,12.0,18.0,1.5,1.5,10.0,36.0,3.0,2.0,1.0,7.0
True,22.0,29.0,1.3182,1.3182,10.0,58.0,2.0,2.0,1.0,15.0
True,14.0,21.0,1.5,1.5,7.0,42.0,3.0,3.0,1.0,13.0
True,3.0,3.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,3.0
True,20.0,31.0,1.55,1.55,8.0,62.0,3.0,2.0,1.0,20.0
True,27.0,48.0,1.7778,1.7778,12.0,96.0,3.0,3.0,1.0,25.0
True,23.0,37.0,1.6087,1.6087,9.0,74.0,3.0,2.0,1.0,26.0
True,19.0,26.0,1.3684,1.3684,9.0,52.0,2.0,2.0,1.0,22.0
True,29.0,56.0,1.931,1.931,11.0,112.0,3.0,3.0,1.0,27.0
True,34.0,65.0,1.9118,1.9118,14.0,130.0,3.0,3.0,1.0,27.0
True,26.0,42.0,1.6154,1.6154,12.0,84.0,3.0,2.0,1.0,19.0
True,8.0,8.0,1.0,1.0,4.0,16.0,2.0,2.0,0.0,8.0
True,33.0,61.0,1.8485,1.8485,13.0,122.0,3.0,3.0,1.0,31.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,46.0,100.0,2.1739,2.1739,21.0,200.0,4.0,3.0,1.0,46.0
True,37.0,73.0,1.973,1.973,15.0,146.0,3.0,3.0,1.0,36.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,31.0,51.0,1.6452,1.6452,13.0,102.0,3.0,2.0,1.0,23.0
True,31.0,59.0,1.9032,1.9032,11.0,118.0,3.0,3.0,1.0,27.0
True,23.0,36.0,1.5652,1.5652,9.0,72.0,3.0,2.0,1.0,17.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,10.0,11.0,1.1,1.1,5.0,22.0,2.0,2.0,1.0,10.0
True,16.0,23.0,1.4375,1.4375,5.0,46.0,2.0,2.0,0.0,16.0
True,25.0,37.0,1.48,1.48,10.0,74.0,3.0,2.0,1.0,23.0
True,18.0,26.0,1.4444,1.4444,8.0,52.0,2.0,2.0,1.0,19.0
True,16.0,25.0,1.5625,1.5625,10.0,50.0,3.0,2.0,1.0,19.0
True,26.0,41.0,1.5769,1.5769,10.0,82.0,3.0,2.0,1.0,25.0
True,22.0,33.0,1.5,1.5,8.0,66.0,3.0,2.0,1.0,22.0
True,18.0,24.0,1.3333,1.3333,8.0,48.0,2.0,2.0,1.0,0.0
True,14.0,18.0,1.2857,1.2857,5.0,36.0,2.0,2.0,1.0,10.0
True,8.0,11.0,1.375,1.375,6.0,22.0,2.0,2.0,1.0,20.0
True,8.0,9.0,1.125,1.125,4.0,18.0,2.0,2.0,1.0,8.0
True,26.0,46.0,1.7692,1.7692,10.0,92.0,3.0,3.0,1.0,20.0
True,22.0,40.0,1.8182,1.8182,12.0,80.0,3.0,3.0,1.0,19.0
True,27.0,54.0,2.0,2.0,10.0,108.0,4.0,3.0,1.0,30.0
True,29.0,50.0,1.7241,1.7241,12.0,100.0,3.0,3.0,1.0,23.0
True,28.0,46.0,1.6429,1.6429,11.0,92.0,3.0,3.0,1.0,34.0
True,8.0,11.0,1.375,1.375,6.0,22.0,2.0,2.0,1.0,8.0
True,29.0,56.0,1.931,1.931,12.0,112.0,3.0,3.0,1.0,8.0
True,20.0,28.0,1.4,1.4,11.0,56.0,2.0,2.0,0.0,0.0
True,5.0,4.0,0.8,0.8,3.0,8.0,1.0,1.0,0.0,5.0
True,27.0,50.0,1.8519,1.8519,11.0,100.0,3.0,3.0,1.0,27.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,29.0,48.0,1.6552,1.6552,13.0,96.0,3.0,3.0,1.0,18.0
True,8.0,9.0,1.125,1.125,4.0,18.0,2.0,2.0,1.0,8.0
True,22.0,35.0,1.5909,1.5909,9.0,70.0,3.0,2.0,1.0,22.0
True,25.0,42.0,1.68,1.68,9.0,84.0,3.0,3.0,1.0,25.0
True,13.0,16.0,1.2308,1.2308,6.0,32.0,2.0,2.0,1.0,0.0
True,27.0,55.0,2.037,2.037,13.0,110.0,4.0,3.0,2.0,27.0
True,9.0,10.0,1.1111,1.1111,5.0,20.0,2.0,2.0,1.0,9.0
True,14.0,19.0,1.3571,1.3571,7.0,38.0,2.0,2.0,1.0,8.0
True,7.0,9.0,1.2857,1.2857,5.0,18.0,2.0,2.0,1.0,7.0
True,5.0,4.0,0.8,0.8,3.0,8.0,1.0,1.0,0.0,5.0
True,20.0,32.0,1.6,1.6,10.0,64.0,3.0,3.0,1.0,16.0
True,36.0,86.0,2.3889,2.3889,19.0,172.0,4.0,3.0,2.0,41.0
True,24.0,41.0,1.7083,1.7083,12.0,82.0,3.0,3.0,1.0,21.0
True,5.0,4.0,0.8,0.8,3.0,8.0,1.0,1.0,0.0,5.0
True,6.0,7.0,1.1667,1.1667,4.0,14.0,2.0,2.0,1.0,6.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,19.0,28.0,1.4737,1.4737,9.0,56.0,2.0,2.0,1.0,6.0
True,28.0,52.0,1.8571,1.8571,13.0,104.0,3.0,3.0,1.0,28.0
True,29.0,56.0,1.931,1.931,12.0,112.0,3.0,3.0,1.0,27.0
True,23.0,41.0,1.7826,1.7826,11.0,82.0,3.0,3.0,1.0,23.0
True,13.0,17.0,1.3077,1.3077,8.0,34.0,2.0,2.0,1.0,11.0
True,23.0,38.0,1.6522,1.6522,10.0,76.0,3.0,2.0,1.0,15.0
True,21.0,29.0,1.381,1.381,8.0,58.0,2.0,2.0,1.0,18.0
True,9.0,10.0,1.1111,1.1111,5.0,20.0,2.0,2.0,1.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,23.0,32.0,1.3913,1.3913,9.0,64.0,2.0,3.0,0.0,16.0
True,25.0,41.0,1.64,1.64,8.0,82.0,3.0,3.0,1.0,21.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,10.0,12.0,1.2,1.2,6.0,24.0,2.0,2.0,1.0,8.0
True,24.0,35.0,1.4583,1.4583,11.0,70.0,3.0,2.0,1.0,25.0
True,26.0,38.0,1.4615,1.4615,11.0,76.0,2.0,2.0,1.0,19.0
True,19.0,27.0,1.4211,1.4211,8.0,54.0,2.0,2.0,1.0,13.0
True,13.0,17.0,1.3077,1.3077,7.0,34.0,2.0,2.0,1.0,14.0
True,32.0,53.0,1.6562,1.6562,11.0,106.0,3.0,3.0,1.0,22.0
True,35.0,70.0,2.0,2.0,14.0,140.0,4.0,3.0,1.0,30.0
True,27.0,50.0,1.8519,1.8519,12.0,100.0,3.0,3.0,1.0,22.0
True,27.0,43.0,1.5926,1.5926,10.0,86.0,3.0,2.0,1.0,25.0
True,17.0,31.0,1.8235,1.8235,10.0,62.0,3.0,3.0,1.0,17.0
True,30.0,59.0,1.9667,1.9667,16.0,118.0,3.0,3.0,1.0,24.0
True,48.0,108.0,2.25,2.25,19.0,216.0,4.0,3.0,1.0,43.0
True,32.0,61.0,1.9062,1.9062,12.0,122.0,3.0,3.0,1.0,11.0
True,34.0,75.0,2.2059,2.2059,15.0,150.0,4.0,3.0,1.0,29.0
True,21.0,34.0,1.619,1.619,10.0,68.0,3.0,3.0,1.0,34.0
True,24.0,38.0,1.5833,1.5833,10.0,76.0,3.0,2.0,1.0,18.0
True,20.0,29.0,1.45,1.45,9.0,58.0,3.0,2.0,1.0,20.0
True,20.0,31.0,1.55,1.55,9.0,62.0,3.0,2.0,1.0,20.0
True,30.0,73.0,2.4333,2.4333,17.0,146.0,4.0,4.0,1.0,27.0
True,22.0,36.0,1.6364,1.6364,9.0,72.0,3.0,3.0,1.0,22.0
