contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_sum_degree
True,20,33,1.65,1.65,13,66,3.47,20,33,66
True,22,34,1.5455,1.5455,12,68,3.24,22,34,68
True,39,94,2.4103,2.4103,26,188,4.95,39,94,188
True,22,36,1.6364,1.6364,13,72,3.43,22,35,70
True,34,68,2.0,2.0,15,136,4.12,14,22,44
True,18,32,1.7778,1.7778,11,64,3.76,18,30,60
True,24,42,1.75,1.75,13,84,3.65,20,33,66
True,35,71,2.0286,2.0286,16,142,4.18,25,51,102
True,37,89,2.4054,2.4054,23,178,4.94,37,89,178
True,27,48,1.7778,1.7778,15,96,3.69,27,49,98
True,31,59,1.9032,1.9032,15,118,3.93,27,49,98
True,35,74,2.1143,2.1143,19,148,4.35,34,72,144
True,32,61,1.9062,1.9062,17,122,3.94,27,51,102
True,11,17,1.5455,1.5455,8,34,3.4,11,17,34
True,37,80,2.1622,2.1622,17,160,4.44,35,72,144
True,53,143,2.6981,2.6981,36,286,5.61,50,133,266
True,36,68,1.8889,1.8889,16,136,3.89,28,49,98
True,38,79,2.0789,2.0789,17,158,4.27,30,55,110
True,35,77,2.2,2.2,21,154,4.53,35,77,154
True,32,69,2.1562,2.1562,19,138,4.45,32,69,138
True,23,38,1.6522,1.6522,11,76,3.45,21,34,68
True,20,37,1.85,1.85,14,74,3.89,20,36,72
True,13,20,1.5385,1.5385,9,40,3.33,13,20,40
True,36,67,1.8611,1.8611,17,134,3.83,11,17,34
True,36,69,1.9167,1.9167,15,138,3.94,17,25,50
True,47,136,2.8936,2.8936,40,272,5.91,47,129,258
True,48,126,2.625,2.625,35,252,5.36,47,123,246
True,37,79,2.1351,2.1351,19,158,4.39,34,68,136
True,21,38,1.8095,1.8095,14,76,3.8,20,33,66
True,31,61,1.9677,1.9677,14,122,4.07,31,61,122
True,25,45,1.8,1.8,16,90,3.75,25,45,90
True,32,65,2.0312,2.0312,18,130,4.19,32,65,130
True,37,70,1.8919,1.8919,17,140,3.89,11,17,34
True,41,80,1.9512,1.9512,17,160,4.0,11,17,34
True,32,58,1.8125,1.8125,15,116,3.74,32,58,116
True,35,67,1.9143,1.9143,15,134,3.94,35,66,132
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,36,78,2.1667,2.1667,17,156,4.46,36,78,156
True,15,24,1.6,1.6,12,48,3.43,15,24,48
True,40,85,2.125,2.125,18,170,4.36,27,48,96
True,41,106,2.5854,2.5854,23,212,5.3,41,106,212
True,42,95,2.2619,2.2619,18,190,4.63,37,75,150
True,34,71,2.0882,2.0882,15,142,4.3,35,75,150
True,16,26,1.625,1.625,13,52,3.47,16,26,52
True,44,96,2.1818,2.1818,18,192,4.47,13,21,42
True,11,14,1.2727,1.2727,7,28,3.11,11,14,28
True,30,61,2.0333,2.0333,16,122,4.21,30,61,122
True,38,90,2.3684,2.3684,23,180,4.86,18,35,70
True,42,127,3.0238,3.0238,34,254,6.2,40,120,240
True,46,103,2.2391,2.2391,17,206,4.58,15,22,44
True,10,16,1.6,1.6,8,32,3.56,10,16,32
True,15,23,1.5333,1.5333,12,46,3.29,15,23,46
True,33,73,2.2121,2.2121,17,146,4.56,33,73,146
True,33,65,1.9697,1.9697,16,130,4.06,32,60,120
True,43,87,2.0233,2.0233,17,174,4.14,13,21,42
True,25,51,2.04,2.04,15,102,4.25,25,51,102
True,25,45,1.8,1.8,15,90,3.75,25,44,88
