contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la
True,33,62,1.8788,1.8788,18,124,3.88,96,1.17114,50
True,44,102,2.3182,2.3182,20,204,4.74,132,2.67563,276
True,49,125,2.551,2.551,22,250,5.21,230,2.56271,309
True,43,106,2.4651,2.4651,21,212,5.05,202,1.50766,116
True,48,108,2.25,2.25,21,216,4.6,22,1.00335,356
True,48,125,2.6042,2.6042,26,250,5.32,222,1.79174,227
True,34,72,2.1176,2.1176,21,144,4.36,134,0.582123,47
True,32,63,1.9688,1.9688,20,126,4.06,102,1.35999,29
True,40,94,2.35,2.35,20,188,4.82,68,2.08602,88
True,34,65,1.9118,1.9118,19,130,3.94,106,1.89452,147
True,41,88,2.1463,2.1463,17,176,4.51,148,1.16088,71
True,33,71,2.1515,2.1515,18,142,4.44,160,1.81866,39
True,19,30,1.5789,1.5789,15,60,3.33,60,0.811278,2
True,22,39,1.7727,1.7727,14,78,3.71,76,1.53049,5
True,40,103,2.575,2.575,23,206,5.57,190,1.5735,238
True,48,128,2.6667,2.6667,29,256,5.45,228,2.53469,420
True,40,83,2.075,2.075,20,166,4.26,146,1.82857,31
True,14,22,1.5714,1.5714,10,44,3.38,50,1.21301,225
True,22,37,1.6818,1.6818,14,74,3.7,74,1.73089,27
True,39,85,2.1795,2.1795,19,170,4.59,144,1.91614,87
True,14,20,1.4286,1.4286,9,40,3.08,40,0.0,1
False,13,20,1.5385,1.5385,11,40,3.33,76,0.0,0
False,12,18,1.5,1.5,9,36,3.27,36,0.0,84
False,27,47,1.7407,1.7407,15,94,3.62,92,0.0,3
False,13,20,1.5385,1.5385,11,40,3.33,38,0.991076,6
False,33,62,1.8788,1.8788,12,124,3.88,116,0.0,11
False,17,22,1.2941,1.2941,8,44,2.75,44,0.0,1
False,51,133,2.6078,2.6078,29,266,5.32,146,0.0,0
False,24,39,1.625,1.625,11,78,3.39,58,0.0,0
False,38,79,2.0789,2.0789,17,158,4.27,90,0.342464,89
False,31,60,1.9355,1.9355,14,120,4.0,112,0.918296,12
False,14,22,1.5714,1.5714,10,44,3.38,44,0.0,0
False,36,70,1.9444,1.9444,16,140,4.12,130,0.0,0
False,19,27,1.4211,1.4211,12,54,3.0,54,0.0,4
False,33,66,2.0,2.0,15,132,4.26,68,0.558629,46
False,35,74,2.1143,2.1143,18,148,4.35,112,1.51984,20
False,9,11,1.2222,1.2222,6,22,2.75,18,0.0,0
False,26,41,1.5769,1.5769,14,82,3.42,82,0.0,2
False,26,47,1.8077,1.8077,15,94,3.76,108,1.7863,12
False,37,87,2.3514,2.3514,21,174,4.83,144,0.0,0
False,31,65,2.0968,2.0968,21,130,4.33,130,0.0,0
False,24,43,1.7917,1.7917,12,86,3.74,86,0.0,0
False,19,38,2.0,2.0,13,76,4.22,164,3.50844,14
False,12,18,1.5,1.5,9,36,3.27,36,0.0,1
False,32,61,1.9062,1.9062,20,122,3.94,112,1.50798,31
False,20,32,1.6,1.6,14,64,3.56,68,0.0,23
False,17,28,1.6471,1.6471,14,56,3.5,56,0.0,1
False,21,34,1.619,1.619,10,68,3.4,68,0.0,6
False,12,19,1.5833,1.5833,10,38,3.45,36,0.0,0
False,18,26,1.4444,1.4444,12,52,3.25,52,1.82307,6
False,25,41,1.64,1.64,11,82,3.42,82,0.0,1
False,22,39,1.7727,1.7727,10,78,3.71,82,0.918296,3
False,31,55,1.7742,1.7742,13,110,3.67,96,0.936667,13
False,23,42,1.8261,1.8261,13,84,3.82,84,1.30098,51
False,19,31,1.6316,1.6316,11,62,3.44,62,0.0,12
False,18,28,1.5556,1.5556,10,56,3.29,30,0.0,33
False,34,65,1.9118,1.9118,18,130,3.94,108,1.34021,30
False,25,44,1.76,1.76,17,88,3.67,88,1.81498,8
False,16,22,1.375,1.375,8,44,2.93,22,1.29546,10
False,14,27,1.9286,1.9286,10,54,4.15,54,0.0,9
False,20,33,1.65,1.65,14,66,3.47,64,0.0,1
False,23,34,1.4783,1.4783,11,68,3.24,46,0.957554,26
False,28,53,1.8929,1.8929,16,106,3.93,106,1.38146,17
False,22,37,1.6818,1.6818,12,74,3.52,60,0.0,7
False,23,40,1.7391,1.7391,14,80,3.64,66,0.0,13
False,26,47,1.8077,1.8077,15,94,3.76,108,1.7863,12
False,11,15,1.3636,1.3636,7,30,3.0,88,0.642092,0
False,26,46,1.7692,1.7692,14,92,3.68,68,0.922806,29
False,51,133,2.6078,2.6078,29,266,5.32,146,0.0,0
False,23,46,2.0,2.0,17,92,4.18,102,2.89537,46
False,26,37,1.4231,1.4231,13,74,3.08,74,0.386019,28
False,13,19,1.4615,1.4615,8,38,3.17,38,0.0,1
False,13,20,1.5385,1.5385,9,40,3.33,40,0.881291,9
False,14,23,1.6429,1.6429,13,46,3.54,46,0.0,2
False,6,5,0.8333,0.8333,5,10,2.0,10,0.0,0
False,29,54,1.8621,1.8621,15,108,3.86,102,0.0,0
False,35,68,1.9429,1.9429,15,136,4.0,106,1.43156,43
False,21,38,1.8095,1.8095,13,76,3.8,74,0.0,6
False,6,7,1.1667,1.1667,5,14,2.8,14,0.0,0
False,6,5,0.8333,0.8333,5,10,2.0,10,0.0,0
False,10,15,1.5,1.5,8,30,3.33,30,0.0,0
False,17,28,1.6471,1.6471,13,56,3.5,42,0.0,5
False,22,35,1.5909,1.5909,11,70,3.33,66,0.0,10
False,9,11,1.2222,1.2222,6,22,2.75,22,0.0,5
False,30,54,1.8,1.8,15,108,3.86,60,0.0,0
False,29,54,1.8621,1.8621,15,108,3.86,88,0.0,0
False,20,37,1.85,1.85,12,74,3.89,40,0.0,27
False,10,16,1.6,1.6,8,32,3.56,32,0.0,2
False,13,19,1.4615,1.4615,8,38,3.17,38,0.0,1
False,44,116,2.6364,2.6364,23,232,5.4,206,0.0,0
False,14,23,1.6429,1.6429,12,46,3.54,44,1.34202,13
False,28,53,1.8929,1.8929,16,106,3.93,106,0.0,0
False,16,24,1.5,1.5,10,48,3.2,32,0.0,15
False,33,66,2.0,2.0,16,132,4.12,124,1.29382,66
False,11,18,1.6364,1.6364,10,36,3.6,36,0.0,0
False,19,33,1.7368,1.7368,12,66,3.67,66,0.779665,430
False,11,15,1.3636,1.3636,7,30,3.0,30,0.0,1
False,14,21,1.5,1.5,11,42,3.5,42,0.0,3
False,18,22,1.2222,1.2222,9,44,2.59,36,0.0,4
False,15,20,1.3333,1.3333,8,40,2.86,40,0.0,0
False,13,21,1.6154,1.6154,12,42,3.5,42,0.0,1
False,27,47,1.7407,1.7407,15,94,3.62,92,0.0,3
False,32,64,2.0,2.0,16,128,4.27,88,1.49019,24
False,13,20,1.5385,1.5385,12,40,3.33,40,0.0,1
False,17,29,1.7059,1.7059,13,58,3.62,60,0.0,2
False,25,51,2.04,2.04,16,102,4.25,102,1.32578,16
False,39,83,2.1282,2.1282,21,166,4.37,166,0.0,0
False,11,14,1.2727,1.2727,7,28,2.8,36,0.0,0
False,51,129,2.5294,2.5294,22,258,5.16,224,2.62457,174
False,32,69,2.1562,2.1562,16,138,4.45,128,1.60691,55
False,17,37,2.1765,2.1765,16,74,4.62,74,0.0,0
False,32,70,2.1875,2.1875,17,140,4.52,126,1.30582,43
False,26,51,1.9615,1.9615,15,102,4.08,70,0.0,43
False,44,110,2.5,2.5,22,220,5.12,136,0.0,0
False,9,12,1.3333,1.3333,7,24,3.0,24,0.0,0
False,35,69,1.9714,1.9714,15,138,4.06,130,0.0,0
False,23,40,1.7391,1.7391,11,80,3.64,74,0.0,5
False,25,43,1.72,1.72,15,86,3.58,84,0.0,0
False,16,25,1.5625,1.5625,9,50,3.33,66,0.0,0
False,23,35,1.5217,1.5217,10,70,3.18,70,0.0,1
False,20,31,1.55,1.55,14,62,3.26,62,1.53099,12
False,24,43,1.7917,1.7917,12,86,3.74,86,0.0,0
False,12,18,1.5,1.5,9,36,3.27,36,0.0,2
False,28,50,1.7857,1.7857,15,100,3.7,98,1.40564,4
False,14,22,1.5714,1.5714,12,44,3.38,46,1.36096,7
False,30,60,2.0,2.0,14,120,4.14,120,0.0,2
False,29,49,1.6897,1.6897,13,98,3.5,22,0.0,63
False,36,66,1.8333,1.8333,16,132,3.77,46,0.110581,135
False,27,48,1.7778,1.7778,14,96,3.69,96,0.0,81
