commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
00952ad57a25ec2375a76cc31ab581816b8be577,False,3,0.07,22,32,1.4545,1.4545,11,1,64,3.05,3.0,1,3,0.07,22,32,1.4545,1.4545,11,1,64,3.05,3.0,1,1,1,1,0.0,6,0,87.0,2
17c73ea83a2f4d14b31e37617b028b1c75abee2e,False,3,0.14,10,13,1.3,1.3,8,1,26,2.89,2.0,1,3,0.08,19,26,1.3684,1.3684,9,1,52,2.89,2.0,1,1,3,4,0.879506,0,19,1506.0,104
9c4b38610f7a744f1114c4988cccd0a1150576cf,False,4,0.15,11,16,1.4545,1.4545,9,1,32,3.2,2.5,1,4,0.15,11,16,1.4545,1.4545,9,1,32,3.2,2.5,1,1,1,1,0.0,1,1,401.0,43
92eafd93e7af313bbeaa5127396597876ca737b1,False,7,0.13,13,21,1.6154,1.6154,11,1,42,3.5,2.5,1,7,0.13,13,21,1.6154,1.6154,11,1,42,3.5,2.5,1,1,1,2,0.991076,3,15,1282.0,77
c631b912b1e75c8451fec288c0c10be4dea39716,False,7,0.07,25,39,1.56,1.56,16,1,78,3.25,3.0,1,7,0.07,25,39,1.56,1.56,16,1,78,3.25,3.0,1,1,1,1,0.0,1,1,378.0,7
561eefdbe8d24f3afd5447dad21406b1fe42b817,False,4,0.14,12,18,1.5,1.5,10,1,36,3.27,3.0,1,4,0.14,12,18,1.5,1.5,10,1,36,3.27,3.0,1,1,2,2,1.0,2,2,234.5,43
c7adf1248547cf74b9cdd36ddfa3edccf0141720,True,2,0.11,12,14,1.1667,1.1667,6,1,28,2.55,2.0,1,2,0.11,12,14,1.1667,1.1667,6,1,28,2.55,2.0,1,1,1,1,0.0,9,4,45.0,3
97f2d91922c9e17fb70676ce3048d04df185360f,False,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,8,0.12,14,22,1.5714,1.5714,12,1,44,3.38,3.0,1,2,2,3,1.44473,80,96,128.333,10
91e3b5290086fca2e4fb267fb9e4af006c4de9a0,False,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,2,2,3,1.5,8,8,7.66667,2
dfe55e6bcfefe1e83fcd0cf18a19b01b4937515c,False,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,1,1,1,0.0,2,1,12.0,55
49dab06701be013a7ff395405992b9c11f5f174b,False,4,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,4,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,1,1,7,2.79901,36,8,28.1429,2
df3798f6fdb6f1e3ee2a2af900e87b03e269ae1d,False,4,0.09,18,29,1.6111,1.6111,13,1,58,3.41,2.0,1,2,0.1,15,21,1.4,1.4,9,1,42,3.0,2.0,1,1,1,3,1.54459,190,0,0.0,0
101549ed6c60dce305782e5c07b5d88a0a01e308,False,7,0.16,11,18,1.6364,1.6364,9,1,36,3.6,3.0,1,7,0.16,11,18,1.6364,1.6364,9,1,36,3.6,3.0,1,2,2,2,0.187176,11,24,797.5,57
6282730dd61a0c228418e2a7ed07ad72708fcee3,False,4,0.13,11,14,1.2727,1.2727,8,1,28,2.8,2.0,1,4,0.13,11,14,1.2727,1.2727,8,1,28,2.8,2.0,1,1,1,23,4.52356,23,23,479.261,88
a117335ddd958f396e097b623373f8b0fd46f905,False,4,0.1,14,19,1.3571,1.3571,9,1,38,2.92,2.0,1,4,0.1,14,19,1.3571,1.3571,9,1,38,2.92,2.0,1,1,1,20,4.32193,20,20,274.75,70
213a3701e0b21ce8d4e31b37ad6a23192945ae6f,False,4,0.13,11,14,1.2727,1.2727,8,1,28,2.8,2.0,1,4,0.13,11,14,1.2727,1.2727,8,1,28,2.8,2.0,1,1,1,20,4.32193,20,20,388.6,55
a0e82633919329515fbc1ae374a7eedc3e7bf3f0,False,2,0.09,14,17,1.2143,1.2143,8,1,34,2.83,2.0,1,2,0.1,15,21,1.4,1.4,9,1,42,3.0,2.0,1,2,3,4,1.50326,21,15,384.75,87
76ed7221bf7777bd8f817edd6ae903ab3a5fbda0,True,4,0.08,20,29,1.45,1.45,11,1,58,3.05,2.0,1,3,0.11,13,17,1.3077,1.3077,9,1,34,2.83,2.0,1,1,1,1,0.0,31,22,171.0,1
727eab4bdd69e118415e0e8712006a9cd8f51635,False,2,0.07,21,28,1.3333,1.3333,8,1,56,2.8,2.0,1,2,0.07,21,28,1.3333,1.3333,8,1,56,2.8,2.0,1,2,3,4,0.968808,46,14,199.0,24
42ffe93ec2efac2181bfde84f6628315a4b4e256,False,2,0.2,8,11,1.375,1.375,7,1,22,3.14,2.0,1,2,0.2,8,11,1.375,1.375,7,1,22,3.14,2.0,1,1,1,1,0.0,1,5,190.0,20
