commit_hash,contains_bug,argument expr name return,argument expr name return expr,argument name annotation,argument name annotation name,argument name annotation name name,argument_list block block_content comment,argument_list block block_content comment type,argument_list catch,argument_list catch parameter_list,argument_list catch parameter_list parameter,argument_list catch parameter_list parameter decl,argument_list while,argument_list while condition,argument_list while condition expr,block expr specifier,block try block block_content decl_stmt,call name argument_list while,call name argument_list while condition,catch,catch parameter_list,catch parameter_list parameter,catch parameter_list parameter decl,catch parameter_list parameter decl type,class specifier name super_list extends,do,expr name argument expr call,expr name catch,expr name catch parameter_list,expr name catch parameter_list parameter,expr name try,expr name try block,expr name try block block_content
a8ef75ee024e42a12cc8993b1c326c6575979e51,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fa22fa431d1de7b7f636f8011ced1b4d45bab7cd,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f122beb129913a98f3bd32882ef34c8104c35f96,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9a4dd3000ce5c8e1ebb884810b7ad3195bb1fa43,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
699b8bf0662be2261d64d0fb912c87cebd89c8b6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4911f855d9f8eea94e5b0ae848cc37fcef355252,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
dad7c7c93a7825dd967d42a99380ccd8beb06e24,1,28,28,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,28,28,28,28,28,0,56,2,26,26,26,1,1,1
a541e766e1e8b3cba307ca0e1535233ff6384802,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
45f18c174612d1a41eed1d2eec9e77d3b3e71a82,1,32,31,2,2,1,0,0,6,6,6,6,6,6,6,47,2,1,1,42,42,42,42,42,12,289,100,19,19,19,2,2,2
3af75fc685d6e2a90a9f68c204122a87ac90e781,1,2,2,0,0,0,2,2,3,3,3,3,2,2,2,11,0,1,1,10,10,10,10,10,6,142,0,4,4,4,0,0,0
64713554b7c114088dcb7fd432e25bcd421cc04a,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,3,0,0,0,0,1,1,1
29c6052d64de0705729bf32136e44505e0c788cc,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2c2d38aa248056c1cf592e8a2a0ada17eb518e2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
d36e317a83765984cb83aee27b7616bb2aee226d,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f446b9007ce8a4f0820e89c9e8e41a866ee8d548,1,0,0,1,1,1,0,0,1,1,1,1,2,2,2,4,0,0,0,2,2,2,2,2,1,3,7,0,0,0,1,1,1
e77bdd7de25af87c53da6e5a3727c028956c1e00,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c8bd1ddd096b3b625d39d1ecf341fd8a58e46b17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,5,0,1,1,1,0,0,0
8d7f04cd96d435692726bf2e3dcdb025570e01e8,1,11,11,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,6,6,6,6,6,0,14,0,4,4,4,4,4,4
7f8f66d8a066dbfe118e00e19984bb18f3adfabd,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,5,5,5,0,7,11,2,2,2,4,4,4
a24a286d8e547467403b03cf5297bf1364701594,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
c12679ad4ea83f5f3719612a2e550edf199841fe,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8d1acd4bb34947ac49830e5a671e3f528ca2f7e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e5524c3c391d2556492d070710a789510be3532,1,3,3,0,0,0,1,1,2,2,2,2,1,1,1,15,0,0,0,12,12,12,12,12,4,41,9,4,4,4,3,2,2
1aceaa01453ebc1709eac1f3eb3908280310a78e,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
74507ae3a3da7b7cce5dda634163a6030ad79ac3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659a33e8e094f68e46c824374d25da67b4c30421,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,0,1,0,1,1,1,0,0,0
4cffe02905527954a031b0994f68bce6faf670f5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
