commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
f046d846aecacd79a83d82903e0b71577529d75c,False,2,0.09,14,17,1.2143,1.2143,8,1,34,2.83,2.0,1,2,0.12,12,16,1.3333,1.3333,8,1,32,2.91,2.0,1,1,1,1,0.0,1,2,42.0,37
db445d4e5a25ff13de014dbbf43bb99cde8b8769,False,9,0.09,22,41,1.8636,1.8636,13,1,82,3.9,3.0,1,22,0.09,22,41,1.8636,1.8636,12,2,82,3.9,3.0,1,1,2,2,0.972806,37,25,2763.5,93
ad94165db91c0416634459e18f173c5cd063dc55,False,6,0.06,31,54,1.7419,1.7419,15,1,108,3.6,3.0,1,6,0.06,31,53,1.7097,1.7097,15,1,106,3.53,3.0,1,1,4,6,2.479,10,9,1378.33,108
39ece4fc2807b3442759d879985146ac0de9742d,False,6,0.06,29,49,1.6897,1.6897,13,1,98,3.5,3.0,1,6,0.06,29,49,1.6897,1.6897,13,1,98,3.5,3.0,1,1,2,3,1.48068,14,4,1077.33,67
70ee1f8709a54a9aeac004d8589faa08f665587a,False,21,0.07,29,53,1.8276,1.8276,18,1,106,3.93,2.0,2,22,0.07,28,55,1.9643,1.9643,18,1,110,4.23,3.5,2,1,2,3,1.24756,8,8,2083.33,94
a9eab081d5a31cec3138685fef21e428f833db03,False,9,0.07,25,45,1.8,1.8,14,1,90,3.75,3.0,1,9,0.07,25,45,1.8,1.8,14,1,90,3.75,3.0,1,1,2,3,1.05298,9,21,1682.33,91
cfdd6b2f6c01c5c8dbe4691cc84c65b9705784c3,False,7,0.07,23,36,1.5652,1.5652,13,1,72,3.27,2.5,1,7,0.07,23,36,1.5652,1.5652,13,1,72,3.27,2.5,1,1,2,2,1.0,4,4,3346.5,106
1476554d3b1db5352c0de1de7524864d4bce3aac,False,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,0,0,0,0.0,0,0,0.0,0
f13041f17b08d95365ae5f14f1be1962b965ff45,False,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,0,0,0,0.0,0,0,0.0,0
f9fc08c5f86fc3c1cfb922d347eec01b695c677a,False,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.0,1,1,1,1,0.0,1,1,166.0,23
dc4923a71bf64bd48708c7e4bd33765cdae68fdf,False,4,0.1,16,25,1.5625,1.5625,10,1,50,3.33,3.0,1,4,0.1,16,25,1.5625,1.5625,10,1,50,3.33,3.0,1,2,2,2,1.0,2,2,763.5,73
248e5ec348979c2d299b04adf93deaafd2b3b2b7,False,4,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,4,0.12,15,25,1.6667,1.6667,10,1,50,3.57,3.0,1,1,1,1,0.0,17,62,87.0,37
60f7a97930ccec01d008036cb98f1304eeca7525,False,8,0.08,23,39,1.6957,1.6957,12,1,78,3.55,3.0,1,7,0.1,16,23,1.4375,1.4375,9,1,46,3.07,3.0,1,1,1,1,0.0,15,0,42.0,3
1b5af2c177ee31109fdd710bc1f1f4f922cedaef,False,3,0.1,15,21,1.4,1.4,10,1,42,3.0,2.0,1,3,0.1,15,21,1.4,1.4,10,1,42,3.0,2.0,1,0,0,0,0.0,0,0,0.0,0
dcb032dcdf8e8300a84ae8ec6cfde0da5381f56f,False,5,0.11,14,20,1.4286,1.4286,11,1,40,3.08,2.0,1,5,0.12,13,19,1.4615,1.4615,10,1,38,3.17,2.0,1,1,1,1,0.0,9,0,300.0,11
eb2cc84a31fb923b2b25b979682904cb81edec7e,False,6,0.13,14,24,1.7143,1.7143,11,2,48,3.69,3.0,1,6,0.13,14,24,1.7143,1.7143,11,2,48,3.69,3.0,1,1,1,1,0.0,1,1,59.0,5
703a24418ccecd9e78d629808a1f8d6a8b410c77,False,4,0.13,12,17,1.4167,1.4167,9,1,34,3.4,3.0,1,4,0.13,12,17,1.4167,1.4167,9,1,34,3.4,3.0,1,1,1,1,0.0,24,23,131.0,2
f7dbcaa72f184aabdac2fa1435a504ed001acd09,False,3,0.1,15,21,1.4,1.4,10,1,42,3.0,2.0,1,3,0.1,15,21,1.4,1.4,10,1,42,3.0,2.0,1,1,1,1,0.0,2,2,957.0,59
f22cd116c597213753b8cc77ff675ed5be18ec1d,False,72,0.07,32,70,2.1875,2.1875,19,1,140,4.52,3.0,3,18,0.06,27,45,1.6667,1.6667,14,1,90,3.46,3.0,2,1,1,1,0.0,956,81,175.0,1
75b5d8c4ead9c41f08fe53f9fffd3ffc984d6684,False,25,0.06,32,56,1.75,1.75,17,1,112,3.61,3.0,1,10,0.06,27,45,1.6667,1.6667,16,1,90,3.46,2.0,1,1,1,1,0.0,12,8,4849.0,90
fb9ad043f8b82c7d507ee729121658073eb894f8,False,9,0.11,18,35,1.9444,1.9444,13,2,70,4.12,3.0,1,9,0.11,18,35,1.9444,1.9444,13,2,70,4.12,3.0,1,2,2,2,0.721928,4,1,215.5,47
89a9a9d9385bbf291849874adc33a270b28fcac4,False,4,0.14,12,18,1.5,1.5,9,1,36,3.27,3.0,1,4,0.14,12,18,1.5,1.5,9,1,36,3.27,3.0,1,1,1,1,0.0,7,7,690.0,20
89306ab0df93bfdf5630910bc20b1eccb7379172,False,8,0.1,20,37,1.85,1.85,12,1,74,3.89,3.0,1,8,0.11,19,36,1.8947,1.8947,12,1,72,4.0,3.0,1,3,3,4,1.87683,56,17,1329.25,103
0242b5afa4ebb381d3a59a7246348a50d3a7fdbe,False,10,0.16,12,21,1.75,1.75,10,1,42,3.82,3.0,1,10,0.11,16,27,1.6875,1.6875,11,1,54,3.6,3.0,1,1,1,1,0.0,0,8,740.0,44
ad7e9053f6f03a4e8527f357fab167e40a3122f9,False,20,0.08,22,39,1.7727,1.7727,14,1,78,3.9,3.0,1,11,0.08,22,37,1.6818,1.6818,13,1,74,3.7,3.0,1,2,2,5,2.23593,7,7,483.8,68
dd747f840e69df75dd82391f805efc41bb576d07,False,8,0.08,21,33,1.5714,1.5714,14,1,66,3.47,3.0,1,8,0.08,21,33,1.5714,1.5714,14,1,66,3.47,3.0,1,2,2,3,1.22627,455,577,235.0,8
e954262233090b0fa809d29ebd1e3611188af94d,False,2,0.09,15,19,1.2667,1.2667,8,1,38,2.92,2.0,1,2,0.09,15,19,1.2667,1.2667,8,1,38,2.92,2.0,1,1,1,1,0.0,1,1,335.0,18
152ecc424b598aa12efc241cce263f72b2ee4499,False,7,0.13,13,21,1.6154,1.6154,10,1,42,3.5,3.0,1,7,0.13,13,21,1.6154,1.6154,10,1,42,3.5,3.0,1,1,1,1,0.0,12,14,388.0,52
0af99bc29d6101afdadd89f8127d04e3e12e5c17,False,4,0.18,10,16,1.6,1.6,8,2,32,3.56,3.0,1,4,0.18,10,16,1.6,1.6,8,2,32,3.56,3.0,1,2,5,9,2.63133,27,22,667.667,104
eaf0e14c784de2f3445db965a90f2dbb08326866,False,4,0.09,21,39,1.8571,1.8571,11,1,78,3.9,3.0,1,4,0.09,21,39,1.8571,1.8571,11,1,78,3.9,3.0,1,1,1,1,0.0,35,35,220.0,2
5b47b8efd48d233a5f7c12d1d7713dcd2f616255,False,7,0.15,11,17,1.5455,1.5455,9,1,34,3.4,3.0,1,7,0.07,26,47,1.8077,1.8077,12,1,94,3.76,3.0,1,1,1,1,0.0,9,1030,1107.0,37
2a5cc40dc428e9024142ebebeaa97a3a3a4a1fa6,False,113,0.07,31,65,2.0968,2.0968,20,1,130,4.33,3.0,1,21,0.08,23,42,1.8261,1.8261,14,1,84,3.82,3.0,1,2,3,4,1.21524,59,1,1598.25,91
53dcf2b407f8a2b4ebe372a8f28b7ba073b9eda7,False,2,0.17,9,12,1.3333,1.3333,6,2,24,3.0,2.0,1,2,0.14,10,13,1.3,1.3,6,1,26,2.89,2.0,1,1,1,1,0.0,0,2,4470.0,82
a3fe125490978a684528c40fc9a15ccdfdf2c92a,False,25,0.06,33,62,1.8788,1.8788,14,1,124,3.88,3.0,1,27,0.06,34,67,1.9706,1.9706,15,1,134,4.06,3.0,1,2,2,2,0.439497,29,4,421.0,16
e1ed37edaedc85b8c3468bd9a726046344036243,False,4,0.08,20,31,1.55,1.55,11,1,62,3.26,3.0,1,4,0.1,14,19,1.3571,1.3571,10,1,38,2.92,2.0,1,0,0,0,0.0,0,0,0.0,0
7a590d8390ef2158509c4fc08b84dac71f59e1fb,False,8,0.06,25,38,1.52,1.52,12,1,76,3.3,3.0,1,8,0.06,25,38,1.52,1.52,12,1,76,3.3,3.0,1,2,2,2,0.970951,4,1,1058.0,66
480d6bb07832576c7e861ef8d65405938605c5f8,False,3,0.08,20,29,1.45,1.45,10,1,58,3.05,2.0,1,3,0.08,20,29,1.45,1.45,10,1,58,3.05,2.0,1,1,1,1,0.0,1,0,184.0,10
bb9069555120474a53caf55027c2bdc1d4cf383c,False,7,0.08,20,30,1.5,1.5,12,1,60,3.16,2.0,1,7,0.08,20,30,1.5,1.5,12,1,60,3.16,2.0,1,2,2,2,0.684038,11,0,2505.0,90
7bee41452bee4d10ab075999580853bdc3431e8b,False,11,0.11,17,29,1.7059,1.7059,10,1,58,3.62,3.0,1,11,0.1,17,28,1.6471,1.6471,10,1,56,3.5,3.0,1,1,1,1,0.0,46,1,240.0,5
85aacc41ba3c4350faaf42582151776a47c6cf5c,False,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.5,1,2,0.14,11,15,1.3636,1.3636,7,1,30,3.0,2.5,1,1,1,1,0.0,1,0,287.0,63
c64128df5882e8dc1f76ae7c1e998ed57b8645fe,False,7,0.16,12,21,1.75,1.75,9,2,42,3.82,3.0,1,4,0.15,12,20,1.6667,1.6667,9,2,40,3.64,3.0,1,0,0,0,0.0,0,0,0.0,0
