commit_hash,contains_bug,annotation name name operator,annotation name name operator name,argument,argument expr,argument expr call,argument expr call name,argument expr call name name,argument expr literal,argument expr literal type,argument expr name,argument expr name argument,argument expr name argument expr,argument expr name comment,argument expr name comment type,argument expr name expr,argument expr name expr_stmt,argument expr name expr_stmt expr,argument expr name function type,argument expr name if,argument expr name if_stmt,argument expr name if_stmt if,argument expr name operator,argument name,argument name name,argument name name parameter,argument name name parameter_list,argument_list,argument_list argument,argument_list argument expr,argument_list argument expr call,argument_list argument expr call name,argument_list argument expr literal
2088309d66541d74f2abde4e28bbf301aad7c0be,0,1,1,234,138,2,2,1,65,65,33,6,6,1,1,2,2,2,0,0,0,0,4,1,0,0,0,95,77,77,1,1,38
464470e715c95fc3b832e93800d551fdb44333f1,0,1,1,160,81,12,12,12,6,6,41,5,5,1,1,2,2,2,0,1,1,1,4,1,0,0,0,78,48,48,7,7,5
5421725907267d88609442c220aed3f32ccf6ad1,1,1,1,26,9,0,0,0,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,7,7,0,0,3
20176840f6287fb426090820d5a3319c7e120bea,1,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
32bbc440c1d7a8c7b261b4778af30f7e1a2ccead,0,1,1,28,6,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,17,5,5,2,2,0
1758f3146ae582493ca02be9babfaf24fb612613,0,1,1,42,14,0,0,0,5,5,7,0,0,1,1,2,2,2,0,0,0,0,0,1,0,0,0,27,11,11,0,0,5
4b3a6b87221076a6b5df2bf4243575018e5f1793,1,1,1,672,305,63,63,49,101,101,137,23,23,8,8,27,27,27,1,8,8,8,5,42,27,6,2,325,200,200,35,35,60
932ae036acb96634c5dd435d57ba02ce4d5e8918,1,5,5,1531,735,106,106,88,182,182,412,64,64,3,3,57,57,56,1,6,4,4,15,13,8,2,2,770,497,497,83,83,128
7e08c0f23f58aa143f0997f2472e8051175142e9,1,1,1,35,20,0,0,0,5,5,13,2,2,0,0,3,3,3,0,0,0,0,0,1,0,0,0,14,13,13,0,0,3
10f9f5101c44be7c675a44ded4aad212627ecdee,1,1,1,338,187,40,40,40,41,41,102,23,23,1,1,4,4,3,0,0,0,0,5,1,0,0,0,150,103,103,24,24,24
48d62fad80aaa13ee1a26fca14437722ed46da25,1,1,1,48,28,3,3,3,6,6,17,2,2,1,1,2,2,2,0,0,0,0,1,1,0,0,0,19,16,16,2,2,6
bcd402ae380ead1234bfdfc53f485d3fb1391288,0,1,1,321,188,18,18,18,56,56,94,21,21,1,1,17,17,17,0,0,0,0,0,3,0,0,0,130,99,99,12,12,28
ef1fc51852cd2914accde4d80c2f496cd1ca042f,0,1,1,166,96,2,2,2,41,41,43,11,11,6,6,14,2,2,0,1,1,1,1,1,0,0,0,69,63,63,1,1,30
b9d49761f72078a0a83137ba8197d08b71f385e0,0,1,1,87,46,7,7,7,9,9,27,7,7,1,1,3,2,2,0,1,1,1,0,3,2,0,0,38,26,26,5,5,6
c6c0f4eb25e511944915bc869e741197f7a277e0,1,1,1,19,6,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,5,5,1,1,0
644548f201743408904dfe24b9f5b515b2c96713,1,1,1,161,85,8,8,8,35,35,40,9,9,4,4,6,6,6,2,3,3,3,2,5,2,0,0,71,50,50,1,1,21
e4b8d9e72d54d4725bf2a902452459b6b243b2e9,1,1,1,172,75,14,14,14,13,13,40,5,5,1,1,5,5,5,0,2,2,2,1,4,1,0,0,93,59,59,10,10,6
3807884263f859f0aaf6a7cbf0009ffc6543c157,1,3,3,64,30,6,6,6,8,8,12,3,3,0,0,2,2,2,0,0,0,0,0,1,0,0,0,33,20,20,5,5,4
47782cbf4a66d49064fd3dd6d1d1a19cc42157fc,0,2,2,767,356,73,73,73,75,75,196,6,6,0,0,34,34,34,0,1,1,1,3,12,0,0,0,391,256,256,69,69,32
90e07d55ace7221081a58a90e54b360ad68fa1ef,0,1,1,208,94,9,9,8,11,11,72,17,17,1,1,7,7,7,1,2,1,1,4,16,6,1,1,98,63,63,6,6,4
18f680977684710037c07bb068383791e8a33a9e,0,1,1,17,7,1,1,0,0,0,4,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,9,6,6,1,1,0
fc2ed4a1f9a19d61f5e3cb4fd843604f0c7fe95f,1,1,1,159,90,10,10,9,6,6,71,23,23,1,1,12,10,10,1,1,1,1,2,2,1,1,1,67,55,55,9,9,3
6e0a9f92fe0052d39b95a605174b3f6423c6aae7,0,1,1,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,2,0,0,0
d96bbe152cf536304208f2e8f35deb3b2aa91d2b,1,1,1,60,33,2,2,0,5,5,20,8,8,0,0,0,0,0,1,1,1,1,0,1,0,0,0,26,18,18,0,0,3
21d10ccc6e463cf250414264c78acb4a6e7c83e3,1,1,1,231,166,0,0,0,4,4,158,48,48,0,0,31,31,31,0,5,5,4,8,1,0,0,0,64,61,61,0,0,0
4ab49a436522f87cd462a9eae20fe10fe5c28fb2,0,1,1,8,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,2,2,0,0,0
3da0bedaec38714a62c3b7244e84bc4f981ddf45,1,1,1,126,58,7,7,7,16,16,30,10,10,0,0,3,3,3,0,0,0,0,3,3,1,0,0,63,27,27,1,1,7
1e06299df82b98795124fe8a33578c111e744ff4,1,1,1,37,21,0,0,0,1,1,18,4,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,15,12,12,0,0,1
ca0827a86235dbc4d7e00cc8426ebff9fcc2d421,1,1,1,20,8,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,8,8,2,2,2
3f685cd5714b1dba44ed33f40683c7ea4895790d,0,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
0ef7ff47d5d031783ce61e93d36dc30703b5b28b,0,1,1,15,6,0,0,0,1,1,3,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,8,4,4,0,0,0
df31c446bfa628bee9fab88addcfec5a13edda30,1,2,2,323,171,26,26,10,31,31,105,22,22,2,2,2,2,2,1,6,6,6,5,10,5,1,1,142,102,102,18,18,18
f1c19b9365cbac88e45a9eed516fbfc6c9aa9947,0,1,1,42,21,0,0,0,4,4,15,2,2,1,1,4,4,3,0,1,0,0,0,1,0,0,0,20,11,11,0,0,2
