commit_hash,contains_bug,argument expr name,argument expr name name,argument_list argument expr name name,argument_list if,argument_list if_stmt,argument_list if_stmt if,argument_list if_stmt if condition,argument_list if_stmt if condition expr,block block,block block_content,block block_content comment,block block_content comment type,block block_content expr,block block_content expr_stmt,block block_content expr_stmt expr,block block_content expr_stmt expr name,block_content comment,block_content comment type,condition expr name operator name,else block,else block block_content,expr name,expr name name,expr name name operator,expr name name operator name,expr name operator name,expr operator name name literal,expr operator name name operator,expr_stmt expr name name operator,function,incr,incr expr
8b241d9230380b75157ad396c74ca1498f287666,1,75,8,5,1,1,1,1,1,33,33,5,5,8,8,8,7,5,5,9,0,0,131,23,16,12,30,0,1,2,19,2,2
a518f57756f5b254f7b553455e4ea94aab1e9215,1,10,1,1,0,0,0,0,0,15,15,0,0,2,2,2,2,0,0,2,0,0,22,4,3,2,9,1,0,1,12,0,0
52124d8ebfe4c7ee73caea0f10cf88feb68f5ded,1,623,311,147,5,5,5,5,5,87,87,6,6,19,19,19,14,8,8,13,3,3,950,472,139,84,73,0,4,11,35,10,10
e79fcaec7cd8e8708110b89bcdc388a42e2f5353,1,260,94,60,5,5,5,5,5,54,54,2,2,20,20,20,15,2,2,9,0,0,462,149,43,37,74,0,1,8,35,5,5
f19e8c58fbb2b24de6037eee84adc0cbcbc99200,1,869,204,111,7,7,7,7,7,241,241,15,15,57,57,57,33,15,15,16,9,9,1333,350,129,110,130,1,1,5,162,7,7
0a30dcd94540ecb3ff15686ce45d06171aec6d71,1,54,12,8,0,0,0,0,0,13,13,1,1,4,4,4,3,1,1,2,0,0,89,21,12,9,6,1,1,1,7,1,1
326ab7d5774b57a001db2f64f4df9d0ae6a84a5a,1,11,1,1,0,0,0,0,0,11,11,2,2,3,3,3,0,2,2,0,1,1,27,7,3,1,0,0,1,0,0,0,0
eee47902b7fb0f16e059c0c1c696615675f4cc2e,1,5,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,10,8,5,1,0,1,0,3,0,0
2635ac0cf7a726d36ff6d7362c12970bb99b3c0c,1,150,48,20,3,3,3,3,3,42,42,10,10,15,15,15,12,10,10,11,6,6,260,79,28,26,19,0,0,15,10,11,11
8bff9e1ff5bbc7310df92c53a71e0fb91f999e8d,1,9,1,0,0,0,0,0,0,10,10,3,3,2,2,2,1,3,3,0,1,1,16,2,2,1,0,0,0,0,0,1,0
0810107d1f75bf1bc6760853347da3981a566e41,1,367,51,20,24,24,24,24,24,298,298,54,54,121,121,121,70,54,54,28,26,25,937,164,84,79,111,1,2,21,66,25,18
